"BookID","Alias"
"1","Gen"
"1","Gn"
"1","Ge"
"2","Exo"
"2","Ex"
"2","Exod"
"3","Lev"
"3","Lv"
"4","Num"
"4","Nm"
"4","Nu"
"5","Deu"
"5","Dt"
"5","Deut"
"6","Jos"
"6","Josh"
"7","Jdg"
"7","Judg"
"8","Rth"
"8","Rt"
"8","Rut"
"8","Ru"
"9","1 Sam"
"9","1 Sa"
"9","1 S"
"9","1 Sm"
"9","1sa"
"10","2 Sam"
"10","2 Sa"
"10","2 S"
"10","2 Sm"
"10","2sa"
"11","1 Ki"
"11","1 Kgs"
"12","2 Ki"
"12","2 Kgs"
"12","2ki"
"13","1 Chr"
"13","1 Ch"
"13","1 Chron"
"13","1ch"
"14","2 Chr"
"14","2 Ch"
"14","2 Chron"
"14","2ch"
"15","Ezr"
"15","Esr"
"15","1 Ezr"
"16","Neh"
"16","Ne"
"16","2 Ezr"
"17","Est"
"17","Esth"
"17","es"
"18","Jb"
"19","Psa"
"19","Ps"
"19","Psalm"
"20","Pro"
"20","Pr"
"20","Prov"
"20","Prv"
"21","Ecc"
"21","Ec"
"21","Eccl"
"22","Sng"
"22","Song"
"22","Canticles"
"22","Cant"
"22","so"
"23","Isa"
"23","Is"
"24","Jer"
"24","Jr"
"25","Lam"
"25","La"
"25","Lm"
"26","Ezk"
"26","Ez"
"26","Ezek"
"26","Eze"
"27","Dan"
"27","Da"
"27","Dn"
"28","Hos"
"28","Ho"
"29","Jol"
"29","Jl"
"29","joe"
"30","Amo"
"30","Am"
"31","Oba"
"31","Ob"
"31","Obad"
"31","Obd"
"32","Jon"
"32","Jnh"
"33","Mic"
"33","Mi"
"33","Mch"
"34","Nah"
"34","Na"
"34","Nam"
"35","Hab"
"35","Ha"
"36","Zeph"
"36","Zep"
"37","Hag"
"37","Hagg"
"38","Zech"
"38","Zec"
"38","Zch"
"39","Mal"
"39","Ml"
"40","Mt"
"40","Mat"
"40","Matt"
"41","Mk"
"41","Mr"
"41","Mrk"
"42","Lk"
"42","Luk"
"42","L"
"42","Lu"
"43","Jn"
"43","Jhn"
"43","J"
"43","Joh"
"44","Act"
"44","Ac"
"45","Rom"
"45","Ro"
"45","R"
"45","Rm"
"46","1 Cor"
"46","1 Co"
"46","1 K"
"11","1Ki"
"47","2 Cor"
"47","2 Co"
"47","2 K"
"48","Gal"
"48","Ga"
"48","G"
"49","Eph"
"49","Ep"
"49","E"
"50","Phil"
"50","Php"
"50","Ph"
"50","Phili"
"51","Col"
"52","1 Th"
"52","1 Thess"
"52","1 Thes"
"52","1th"
"53","2 Th"
"53","2 Thess"
"53","2 Thes"
"53","2th"
"54","1 Tim"
"54","1 Ti"
"54","1 T"
"54","1 Tm"
"54","1ti"
"55","2 Tim"
"55","2 Ti"
"55","2 T"
"55","2 Tm"
"55","2ti"
"56","Tit"
"56","Tt"
"57","Phm"
"57","Phlm"
"57","Philem"
"57","Phile"
"58","Heb"
"58","Hebr"
"58","H"
"58","Hbr"
"59","Jas"
"59","Jam"
"59","Ja"
"60","1 Pet"
"60","1 Pt"
"60","1 P"
"60","1 Pe"
"60","1pe"
"61","2 Pet"
"61","2 Pt"
"61","2 P"
"61","2 Pe"
"61","2pe"
"62","1 Jn"
"62","1 Jo"
"62","1 J"
"62","1jo"
"63","2 Jn"
"63","2 Jo"
"63","2 J"
"63","2jo"
"64","3 Jn"
"64","3 Jo"
"64","3 J"
"64","3jo"
"65","Jud"
"65","Jd"
"66","Rev"
"13","1Chr"
"46","1Cor"
"62","1John"
"11","1Kgs"
"60","1Pet"
"9","1Sam"
"52","1Thess"
"54","1Tim"
"14","2Chr"
"47","2Cor"
"63","2John"
"12","2Kgs"
"61","2Pet"
"10","2Sam"
"53","2Thess"
"55","2Tim"
"64","3John"
"5","De"
"7","Jgs"
"3","Le"
"66","Re"
"46","1Co"
"47","2Co"
"41","Mar"
"1","Genesis"
"2","Exodus"
"3","Leviticus"
"4","Numbers"
"5","Deuteronomy"
"6","Joshua"
"7","Judges"
"8","Ruth"
"9","1 Samuel"
"10","2 Samuel"
"11","1 Kings"
"12","2 Kings"
"13","1 Chronicles"
"14","2 Chronicles"
"15","Ezra"
"16","Nehemiah"
"17","Esther"
"18","Job"
"19","Psalms"
"20","Proverbs"
"21","Ecclesiastes"
"22","Song of Solomon"
"23","Isaiah"
"24","Jeremiah"
"25","Lamentations"
"26","Ezekiel"
"27","Daniel"
"28","Hosea"
"29","Joel"
"30","Amos"
"31","Obadiah"
"32","Jonah"
"33","Micah"
"34","Nahum"
"35","Habakkuk"
"36","Zephaniah"
"37","Haggai"
"38","Zechariah"
"39","Malachi"
"40","Matthew"
"41","Mark"
"42","Luke"
"43","John"
"44","Acts"
"45","Romans"
"46","1 Corinthians"
"47","2 Corinthians"
"48","Galatians"
"49","Ephesians"
"50","Philippians"
"51","Colossians"
"52","1 Thessalonians"
"53","2 Thessalonians"
"54","1 Timothy"
"55","2 Timothy"
"56","Titus"
"57","Philemon"
"58","Hebrews"
"59","James"
"60","1 Peter"
"61","2 Peter"
"62","1 John"
"63","2 John"
"64","3 John"
"65","Jude"
"66","Revelation"
"22","son"
