osisName,bookOrder,bookName,bookDiv,testament,shortName,slug,yearWritten,placeWritten,chapters,chapterCount,verseCount,writers,peopleCount,placeCount,modified
Gen,1,Genesis,Pentateuch,Old Testament,Ge,gen,,,"Gen.1,Gen.2,Gen.3,Gen.4,Gen.5,Gen.6,Gen.7,Gen.8,Gen.9,Gen.10,Gen.11,Gen.12,Gen.13,Gen.14,Gen.15,Gen.16,Gen.17,Gen.18,Gen.19,Gen.20,Gen.21,Gen.22,Gen.23,Gen.24,Gen.25,Gen.26,Gen.27,Gen.28,Gen.29,Gen.30,Gen.31,Gen.32,Gen.33,Gen.34,Gen.35,Gen.36,Gen.37,Gen.38,Gen.39,Gen.40,Gen.41,Gen.42,Gen.43,Gen.44,Gen.45,Gen.46,Gen.47,Gen.48,Gen.49,Gen.50",50,1533,moses_2108,1082,266,
Exod,2,Exodus,Pentateuch,Old Testament,Ex,exod,,,"Exod.1,Exod.2,Exod.3,Exod.4,Exod.5,Exod.6,Exod.7,Exod.8,Exod.9,Exod.10,Exod.11,Exod.12,Exod.13,Exod.14,Exod.15,Exod.16,Exod.17,Exod.18,Exod.19,Exod.20,Exod.21,Exod.22,Exod.23,Exod.24,Exod.25,Exod.26,Exod.27,Exod.28,Exod.29,Exod.30,Exod.31,Exod.32,Exod.33,Exod.34,Exod.35,Exod.36,Exod.37,Exod.38,Exod.39,Exod.40",40,1213,moses_2108,619,179,
Lev,3,Leviticus,Pentateuch,Old Testament,Le,lev,,,"Lev.1,Lev.2,Lev.3,Lev.4,Lev.5,Lev.6,Lev.7,Lev.8,Lev.9,Lev.10,Lev.11,Lev.12,Lev.13,Lev.14,Lev.15,Lev.16,Lev.17,Lev.18,Lev.19,Lev.20,Lev.21,Lev.22,Lev.23,Lev.24,Lev.25,Lev.26,Lev.27",27,859,moses_2108,366,28,
Num,4,Numbers,Pentateuch,Old Testament,Nu,num,,,"Num.1,Num.2,Num.3,Num.4,Num.5,Num.6,Num.7,Num.8,Num.9,Num.10,Num.11,Num.12,Num.13,Num.14,Num.15,Num.16,Num.17,Num.18,Num.19,Num.20,Num.21,Num.22,Num.23,Num.24,Num.25,Num.26,Num.27,Num.28,Num.29,Num.30,Num.31,Num.32,Num.33,Num.34,Num.35,Num.36",36,1288,moses_2108,832,207,
Deut,5,Deuteronomy,Pentateuch,Old Testament,Dt,deut,,,"Deut.1,Deut.2,Deut.3,Deut.4,Deut.5,Deut.6,Deut.7,Deut.8,Deut.9,Deut.10,Deut.11,Deut.12,Deut.13,Deut.14,Deut.15,Deut.16,Deut.17,Deut.18,Deut.19,Deut.20,Deut.21,Deut.22,Deut.23,Deut.24,Deut.25,Deut.26,Deut.27,Deut.28,Deut.29,Deut.30,Deut.31,Deut.32,Deut.33,Deut.34",34,959,moses_2108,528,146,
Josh,6,Joshua,Historical,Old Testament,Jos,josh,,,"Josh.1,Josh.2,Josh.3,Josh.4,Josh.5,Josh.6,Josh.7,Josh.8,Josh.9,Josh.10,Josh.11,Josh.12,Josh.13,Josh.14,Josh.15,Josh.16,Josh.17,Josh.18,Josh.19,Josh.20,Josh.21,Josh.22,Josh.23,Josh.24",24,658,joshua_1727,413,370,
Judg,7,Judges,Historical,Old Testament,Jdg,judg,,,"Judg.1,Judg.2,Judg.3,Judg.4,Judg.5,Judg.6,Judg.7,Judg.8,Judg.9,Judg.10,Judg.11,Judg.12,Judg.13,Judg.14,Judg.15,Judg.16,Judg.17,Judg.18,Judg.19,Judg.20,Judg.21",21,618,samuel_2469,454,244,
Ruth,8,Ruth,Historical,Old Testament,Ru,ruth,,,"Ruth.1,Ruth.2,Ruth.3,Ruth.4",4,85,samuel_2469,57,9,
1Sam,9,1 Samuel,Historical,Old Testament,1Sa,1sam,,,"1Sam.1,1Sam.2,1Sam.3,1Sam.4,1Sam.5,1Sam.6,1Sam.7,1Sam.8,1Sam.9,1Sam.10,1Sam.11,1Sam.12,1Sam.13,1Sam.14,1Sam.15,1Sam.16,1Sam.17,1Sam.18,1Sam.19,1Sam.20,1Sam.21,1Sam.22,1Sam.23,1Sam.24,1Sam.25,1Sam.26,1Sam.27,1Sam.28,1Sam.29,1Sam.30,1Sam.31",31,810,"samuel_2469, samuel_2469, gad_1263, nathan_2153",662,193,
2Sam,10,2 Samuel,Historical,Old Testament,2Sa,2sam,,,"2Sam.1,2Sam.2,2Sam.3,2Sam.4,2Sam.5,2Sam.6,2Sam.7,2Sam.8,2Sam.9,2Sam.10,2Sam.11,2Sam.12,2Sam.13,2Sam.14,2Sam.15,2Sam.16,2Sam.17,2Sam.18,2Sam.19,2Sam.20,2Sam.21,2Sam.22,2Sam.23,2Sam.24",24,695,"samuel_2469, gad_1263, nathan_2153",556,166,
1Kgs,11,1 Kings,Historical,Old Testament,1Ki,1kgs,,,"1Kgs.1,1Kgs.2,1Kgs.3,1Kgs.4,1Kgs.5,1Kgs.6,1Kgs.7,1Kgs.8,1Kgs.9,1Kgs.10,1Kgs.11,1Kgs.12,1Kgs.13,1Kgs.14,1Kgs.15,1Kgs.16,1Kgs.17,1Kgs.18,1Kgs.19,1Kgs.20,1Kgs.21,1Kgs.22",22,816,jeremiah_853,586,192,
2Kgs,12,2 Kings,Historical,Old Testament,2Ki,2kgs,,,"2Kgs.1,2Kgs.2,2Kgs.3,2Kgs.4,2Kgs.5,2Kgs.6,2Kgs.7,2Kgs.8,2Kgs.9,2Kgs.10,2Kgs.11,2Kgs.12,2Kgs.13,2Kgs.14,2Kgs.15,2Kgs.16,2Kgs.17,2Kgs.18,2Kgs.19,2Kgs.20,2Kgs.21,2Kgs.22,2Kgs.23,2Kgs.24,2Kgs.25",25,719,jeremiah_853,554,265,
1Chr,13,1 Chronicles,Historical,Old Testament,1Ch,1chr,,,"1Chr.1,1Chr.2,1Chr.3,1Chr.4,1Chr.5,1Chr.6,1Chr.7,1Chr.8,1Chr.9,1Chr.10,1Chr.11,1Chr.12,1Chr.13,1Chr.14,1Chr.15,1Chr.16,1Chr.17,1Chr.18,1Chr.19,1Chr.20,1Chr.21,1Chr.22,1Chr.23,1Chr.24,1Chr.25,1Chr.26,1Chr.27,1Chr.28,1Chr.29",29,942,ezra_1245,836,161,
2Chr,14,2 Chronicles,Historical,Old Testament,2Ch,2chr,,,"2Chr.1,2Chr.2,2Chr.3,2Chr.4,2Chr.5,2Chr.6,2Chr.7,2Chr.8,2Chr.9,2Chr.10,2Chr.11,2Chr.12,2Chr.13,2Chr.14,2Chr.15,2Chr.16,2Chr.17,2Chr.18,2Chr.19,2Chr.20,2Chr.21,2Chr.22,2Chr.23,2Chr.24,2Chr.25,2Chr.26,2Chr.27,2Chr.28,2Chr.29,2Chr.30,2Chr.31,2Chr.32,2Chr.33,2Chr.34,2Chr.35,2Chr.36",36,822,ezra_1245,611,236,
Ezra,15,Ezra,Historical,Old Testament,Ezr,ezra,,,"Ezra.1,Ezra.2,Ezra.3,Ezra.4,Ezra.5,Ezra.6,Ezra.7,Ezra.8,Ezra.9,Ezra.10",10,280,ezra_1245,209,89,
Neh,16,Nehemiah,Historical,Old Testament,Ne,neh,,,"Neh.1,Neh.2,Neh.3,Neh.4,Neh.5,Neh.6,Neh.7,Neh.8,Neh.9,Neh.10,Neh.11,Neh.12,Neh.13",13,406,nehemiah_2172,259,99,
Esth,17,Esther,Historical,Old Testament,Es,esth,,,"Esth.1,Esth.2,Esth.3,Esth.4,Esth.5,Esth.6,Esth.7,Esth.8,Esth.9,Esth.10",10,167,mordecai_2107,119,24,
