personLookup,status,personID,displayTitle,name,surname,alsoCalled,isProperName,ambiguous,Disambiguation (temp),gender,occupations,birthYear,minYear,deathYear,maxYear,birthPlace,deathPlace,memberOf,eastons,dictText,events,eventGroups,verseCount,verses,mother,father,partners,children,siblings,halfSiblingsSameMother,halfSiblingsSameFather,chaptersWritten,alphaGroup,slug,modified
aaron_1,publish,1,Aaron,Aaron,,,checked,,,Male,,-1574,-1700,-1451,64,egypt_362,mount_hor_842,Tribe of Levi,Aaron,"The eldest son of Amram and Jochebed, a daughter of Levi ([Ex. 6:20](/exod#Exod.6.20)). Some explain the name as meaning mountaineer, others mountain of strength, illuminator. He was born in Egypt three years before his brother Moses, and a number of years after his sister Miriam (2:1, 4; 7:7). He married Elisheba, the daughter of Amminadab of the house of Judah (6:23; [1 Chr. 2:10](/1chr#1Chr.2.10)), by whom he had four sons, Nadab and Abihu, Eleazar and Ithamar. When the time for the deliverance of Isarael out of Egypt drew nigh, he was sent by God ([Ex. 4:14](/exod#Exod.4.14), [27-30](/exod#Exod.4.27)) to meet his long-absent brother, that he might co-operate with him in all that they were required to do in bringing about the Exodus. He was to be the “mouth” or “prophet” of Moses, i.e., was to speak for him, because he was a man of a ready utterance (7:1, 2, 9, 10, 19). He was faithful to his trust, and stood by Moses in all his interviews with Pharaoh.

 When the ransomed tribes fought their first battle with Amalek in Rephidim, Moses stood on a hill overlooking the scene of the conflict with the rod of God in his outstretched hand. On this occasion he was attended by Aaron and Hur, his sister’s husband, who held up his wearied hands till Joshua and the chosen warriors of Israel gained the victory (17:8-13).

 Afterwards, when encamped before Sinai, and when Moses at the command of God ascended the mount to receive the tables of the law, Aaron and his two sons, Nadab and Abihu, along with seventy of the elders of Israel, were permitted to accompany him part of the way, and to behold afar off the manifestation of the glory of Israel’s God ([Ex. 19:24](/exod#Exod.19.24); [24:9-11](/exod#Exod.24.9)). While Moses remained on the mountain with God, Aaron returned unto the people; and yielding through fear, or ignorance, or instability of character, to their clamour, made unto them a golden calf, and set it up as an object of worship ([Ex. 32:4](/exod#Exod.32.4); [Ps. 106:19](/ps#Ps.106.19)). On the return of Moses to the camp, Aaron was sternly rebuked by him for the part he had acted in this matter; but he interceded for him before God, who forgave his sin ([Deut. 9:20](/deut#Deut.9.20)).

 On the mount, Moses received instructions regarding the system of worship which was to be set up among the people; and in accordance therewith Aaron and his sons were consecrated to the priest’s office ([Lev. 8](/lev#Lev.8); [9](/lev#Lev.9)). Aaron, as high priest, held henceforth the prominent place appertaining to that office.

 When Israel had reached Hazeroth, in “the wilderness of Paran,” Aaron joined with his sister Miriam in murmuring against Moses, “because of the Ethiopian woman whom he had married,” probably after the death of Zipporah. But the Lord vindicated his servant Moses, and punished Miriam with leprosy ([Num. 12](/num#Num.12)). Aaron acknowledged his own and his sister’s guilt, and at the intercession of Moses they were forgiven.

 Twenty years after this, when the children of Israel were encamped in the wilderness of Paran, Korah, Dathan, and Abiram conspired against Aaron and his sons; but a fearful judgment from God fell upon them, and they were destroyed, and the next day thousands of the people also perished by a fierce pestilence, the ravages of which were only stayed by the interposition of Aaron ([Num. 16](/num#Num.16)). That there might be further evidence of the divine appointment of Aaron to the priestly office, the chiefs of the tribes were each required to bring to Moses a rod bearing on it the name of his tribe. And these, along with the rod of Aaron for the tribe of Levi, were laid up overnight in the tabernacle, and in the morning it was found that while the other rods remained unchanged, that of Aaron “for the house of Levi” budded, blossomed, and yielded almonds ([Num. 17:1-10](/num#Num.17.1)). This rod was afterwards preserved in the tabernacle ([Heb. 9:4](/heb#Heb.9.4)) as a memorial of the divine attestation of his appointment to the priesthood.

 Aaron was implicated in the sin of his brother at Meribah ([Num. 20:8-13](/num#Num.20.8)), and on that account was not permitted to enter the Promised Land. When the tribes arrived at Mount Hor, “in the edge of the land of Edom,” at the command of God Moses led Aaron and his son Eleazar to the top of that mountain, in the sight of all the people. There he stripped Aaron of his priestly vestments, and put them upon Eleazar; and there Aaron died on the top of the mount, being 123 years old ([Num. 20:23-29](/num#Num.20.23). Comp. [Deut. 10:6](/deut#Deut.10.6); [32:50](/deut#Deut.32.50)), and was “gathered unto his people.” The people, “even all the house of Israel,” mourned for him thirty days. Of Aaron’s sons two survived him, Eleazar, whose family held the high-priesthood till the time of Eli; and Ithamar, in whose family, beginning with Eli, the high-priesthood was held till the time of Solomon. Aaron’s other two sons had been struck dead ([Lev. 10:1](/lev#Lev.10.1), [2](/lev#Lev.10.2)) for the daring impiety of offering “strange fire” on the alter of incense.

 The Arabs still show with veneration the traditionary site of Aaron’s grave on one of the two summits of Mount Hor, which is marked by a Mohammedan chapel. His name is mentioned in the Koran, and there are found in the writings of the rabbins many fabulous stories regarding him.

 He was the first anointed priest. His descendants, “the house of Aaron,” constituted the priesthood in general. In the time of David they were very numerous ([1 Chr. 12:27](/1chr#1Chr.12.27)). The other branches of the tribe of Levi held subordinate positions in connection with the sacred office. Aaron was a type of Christ in his official character as the high priest. His priesthood was a “shadow of heavenly things,” and was intended to lead the people of Israel to look forward to the time when “another priest” would arise “after the order of Melchizedek” ([Heb. 6:20](/heb#Heb.6.20)).",,,331,"Exod.4.14,Exod.4.27,Exod.4.28,Exod.4.29,Exod.4.30,Exod.5.1,Exod.5.4,Exod.5.20,Exod.6.13,Exod.6.20,Exod.6.23,Exod.6.25,Exod.6.26,Exod.6.27,Exod.7.1,Exod.7.2,Exod.7.6,Exod.7.7,Exod.7.8,Exod.7.9,Exod.7.10,Exod.7.12,Exod.7.19,Exod.7.20,Exod.8.5,Exod.8.6,Exod.8.8,Exod.8.12,Exod.8.16,Exod.8.17,Exod.8.25,Exod.9.8,Exod.9.27,Exod.10.3,Exod.10.8,Exod.10.16,Exod.11.10,Exod.12.1,Exod.12.28,Exod.12.31,Exod.12.43,Exod.12.50,Exod.15.20,Exod.16.2,Exod.16.6,Exod.16.9,Exod.16.10,Exod.16.33,Exod.16.34,Exod.17.10,Exod.17.12,Exod.18.12,Exod.19.24,Exod.24.1,Exod.24.9,Exod.24.14,Exod.27.21,Exod.28.1,Exod.28.2,Exod.28.3,Exod.28.4,Exod.28.12,Exod.28.29,Exod.28.30,Exod.28.35,Exod.28.38,Exod.28.40,Exod.28.41,Exod.28.43,Exod.29.4,Exod.29.5,Exod.29.9,Exod.29.10,Exod.29.15,Exod.29.19,Exod.29.20,Exod.29.21,Exod.29.24,Exod.29.26,Exod.29.27,Exod.29.28,Exod.29.29,Exod.29.32,Exod.29.35,Exod.29.44,Exod.30.7,Exod.30.8,Exod.30.10,Exod.30.19,Exod.30.30,Exod.31.10,Exod.32.1,Exod.32.2,Exod.32.3,Exod.32.5,Exod.32.21,Exod.32.22,Exod.32.25,Exod.32.35,Exod.34.30,Exod.34.31,Exod.35.19,Exod.38.21,Exod.39.1,Exod.39.27,Exod.39.41,Exod.40.12,Exod.40.13,Exod.40.31,Lev.1.5,Lev.1.7,Lev.1.8,Lev.1.11,Lev.2.2,Lev.2.3,Lev.2.10,Lev.3.2,Lev.3.5,Lev.3.8,Lev.3.13,Lev.6.9,Lev.6.14,Lev.6.16,Lev.6.18,Lev.6.20,Lev.6.25,Lev.7.10,Lev.7.31,Lev.7.33,Lev.7.34,Lev.7.35,Lev.8.2,Lev.8.6,Lev.8.12,Lev.8.13,Lev.8.14,Lev.8.18,Lev.8.22,Lev.8.23,Lev.8.24,Lev.8.27,Lev.8.30,Lev.8.31,Lev.8.36,Lev.9.1,Lev.9.2,Lev.9.7,Lev.9.8,Lev.9.9,Lev.9.12,Lev.9.18,Lev.9.21,Lev.9.22,Lev.9.23,Lev.10.1,Lev.10.3,Lev.10.4,Lev.10.6,Lev.10.8,Lev.10.12,Lev.10.16,Lev.10.19,Lev.11.1,Lev.13.1,Lev.13.2,Lev.14.33,Lev.15.1,Lev.16.1,Lev.16.2,Lev.16.3,Lev.16.6,Lev.16.8,Lev.16.9,Lev.16.11,Lev.16.21,Lev.16.23,Lev.17.2,Lev.21.1,Lev.21.17,Lev.21.21,Lev.21.24,Lev.22.2,Lev.22.4,Lev.22.18,Lev.24.3,Lev.24.9,Num.1.3,Num.1.17,Num.1.44,Num.2.1,Num.3.1,Num.3.2,Num.3.3,Num.3.4,Num.3.6,Num.3.9,Num.3.10,Num.3.32,Num.3.38,Num.3.39,Num.3.48,Num.3.51,Num.4.1,Num.4.5,Num.4.15,Num.4.16,Num.4.17,Num.4.19,Num.4.27,Num.4.28,Num.4.33,Num.4.34,Num.4.37,Num.4.41,Num.4.45,Num.4.46,Num.6.23,Num.7.8,Num.8.2,Num.8.3,Num.8.11,Num.8.13,Num.8.19,Num.8.20,Num.8.21,Num.8.22,Num.9.6,Num.10.8,Num.12.1,Num.12.4,Num.12.5,Num.12.10,Num.12.11,Num.13.26,Num.14.2,Num.14.5,Num.14.26,Num.15.33,Num.16.3,Num.16.11,Num.16.16,Num.16.17,Num.16.18,Num.16.20,Num.16.37,Num.16.40,Num.16.41,Num.16.42,Num.16.43,Num.16.46,Num.16.47,Num.16.50,Num.17.3,Num.17.6,Num.17.8,Num.17.10,Num.18.1,Num.18.8,Num.18.20,Num.18.28,Num.19.1,Num.20.2,Num.20.6,Num.20.8,Num.20.10,Num.20.12,Num.20.23,Num.20.24,Num.20.25,Num.20.26,Num.20.28,Num.20.29,Num.25.7,Num.25.11,Num.26.1,Num.26.9,Num.26.59,Num.26.60,Num.26.64,Num.27.13,Num.33.1,Num.33.38,Num.33.39,Deut.9.20,Deut.10.6,Deut.32.50,Josh.21.4,Josh.21.10,Josh.21.13,Josh.21.19,Josh.24.5,Josh.24.33,Judg.20.28,1Sam.12.6,1Sam.12.8,1Chr.6.3,1Chr.6.49,1Chr.6.50,1Chr.6.54,1Chr.6.57,1Chr.15.4,1Chr.23.13,1Chr.23.28,1Chr.23.32,1Chr.24.1,1Chr.24.19,1Chr.24.31,2Chr.13.9,2Chr.13.10,2Chr.26.18,2Chr.29.21,2Chr.31.19,2Chr.35.14,Ezra.7.5,Neh.10.38,Neh.12.47,Ps.77.20,Ps.99.6,Ps.105.26,Ps.106.16,Ps.115.10,Ps.115.12,Ps.118.3,Ps.133.2,Ps.135.19,Mic.6.4,Luke.1.5,Acts.7.40,Heb.5.4,Heb.7.11,Heb.9.4",jochebed_1645,amram_242,elisheba_1162,"abihu_33,eleazar_1062,nadab_2128,ithamar_649","miriam_2087,moses_2108",,,,A,aaron_1,2020-09-07 19:30
abagtha_3,wip,3,Abagtha,Abagtha,,,checked,,,Male,,,-462,,-462,,,,Abagtha,One of the seven eunuchs in Ahasuerus’s court ([Esther 1:10](/esth#Esth.1.10); [2:21](/esth#Esth.2.21)).,,,1,Esth.1.10,,,,,,,,,A,abagtha_3,2019-07-27 11:49
abda_4,wip,4,Abda,Abda,,,checked,,,Male,,,-1014,,-1014,,,,Abda 1,"The father of Adoniram, whom Solomon set over the tribute ([1 Kings 4:6](/1kgs#1Kgs.4.6)); i.e., the forced labour (R.V., “levy”).",,,1,1Kgs.4.6,,,,adoniram_102,,,,,A,abda_4,2019-07-27 11:49
abdeel_5,wip,5,Abdeel,Abdeel,,,checked,,,Male,,,-606,,-606,,,,Abdeel,"Servant of God, ([Jer. 36:26](/jer#Jer.36.26)), the father of Shelemiah.",,,1,Jer.36.26,,,,shelemiah_2599,,,,,A,abdeel_5,2019-07-27 11:49
abdi_6,wip,6,Abdi,Abdi,,,checked,checked,"Abdi - A Levite, father of Kishi and grandfather of King David's singer Ethan. This makes Abdi a contemporary of Saul the king.",Male,,,-1042,,-1042,,,Tribe of Levi,Abdi 1,[1 Chr. 6:44](/1chr#1Chr.6.44).,,,1,1Chr.6.44,,malluch_1918,,kishi_1788,,,,,A,abdi_6,2019-07-27 11:49
abdi_7,wip,7,Abdi,Abdi,,,checked,checked,Abdi (The son of Jehallelel),Male,,,-726,,-726,,,,Abdi 2,[2 Chr. 29:12](/2chr#2Chr.29.12).,,,1,2Chr.29.12,,,,kish_1786,,,,,A,abdi_7,2019-07-27 11:49
abdi_8,wip,8,Abdi,Abdi,,,checked,checked,Abdi (descendent of Elam),Male,,,-456,,-456,,,,Abdi 3,[Ezra 10:26](/ezra#Ezra.10.26).,,,1,Ezra.10.26,,,,,,,,,A,abdi_8,2019-07-27 11:49
abdiel_9,wip,9,Abdiel,Abdiel,,,checked,,,Male,,,-1060,,-1060,,,,Abdiel,"Servant of God, ([1 Chr. 5:15](/1chr#1Chr.5.15)), a Gadite chief.",,,1,1Chr.5.15,,guni_1331,,ahi_124,,,,,A,abdiel_9,2019-07-27 11:49
abdon_10,wip,10,Abdon,Abdon,,,checked,checked,"Abdon (Hebrew: עַבְדּוֹן ‘Aḇdōn, ""servile"" or ""service""), was the son of Hillel, a Pirathonite, and was the twelfth Judge of Israel mentioned in the Book of Judges (Judges 12:13-15). He was a member of the tribe of Ephraim, and in the biblical account was credited with having forty sons and thirty grandsons. He restored order in the central area of Israel ""after the disastrous feud with Jephtha and the Gileadites"".[1] He judged Israel for eight years. He was buried on Ephraimite land, in Pirathon, in the hill-country of the Amalekites.",Male,,,-1164,,-1156,,,,Abdon 1,"The son of Hillel, a Pirathonite, the tenth judge of Israel ([Judg. 12:13-15](/judg#Judg.12.13)). He is probably the Bedan of [1 Sam. 12:11](/1sam#1Sam.12.11).",,,2,"Judg.12.13,Judg.12.15",,hillel_1530,,,,,,,A,abdon_10,2020-09-13 20:09
abdon_11,wip,11,Abdon,Abdon,,,checked,checked,,Male,,,0,,0,,,,Abdon 4,"One of the “sons” of Shashak ([1 Chr. 8:23](/1chr#1Chr.8.23)).

 This is the name also of a Levitical town of the Gershonites, in the tribe of Asher ([Josh. 21:30](/josh#Josh.21.30); [1 Chr. 6:74](/1chr#1Chr.6.74)). The ruins of Abdeh, some 8 miles north-east of Accho, probably mark its site.",,,1,1Chr.8.23,,shashak_2561,,,"antothijah_271,iphedeiah_606,ishpan_639,elam_1050,eliel_1106,hanan_1370,hananiah_1385,heber_1474,penuel_2315,zichri_3067",,,,A,abdon_11,2019-07-27 11:49
