"PersonID","Alias"
"1","Aaron"
"2","Abaddon"
"3","Abagtha"
"4","Abda"
"5","Abdeel"
"6","Abdi"
"7","Abdi"
"8","Abdi"
"9","Abdiel"
"10","Abdon"
"11","Abdon"
"12","Abdon"
"13","Abel"
"14","Abi"
"15","Abiah"
"16","Abiah"
"17","Abiah"
"19","Abiasaph"
"20","Abiathar"
"22","Abidan"
"23","Abiel"
"24","Abiezer"
"25","Abiezer"
"26","Abigail"
"27","Abigail"
"28","Abihail"
"29","Abihail"
"30","Abihail"
"31","Abihail"
"32","Abihail"
"33","Abihu"
"34","Abihud"
"35","Abijah"
"36","Abijah"
"37","Abijah"
"38","Abijam"
"39","Abimael"
"40","Abimelech"
"41","Abimelech"
"42","Abimelech"
"43","Abinadab"
"44","Abinadab"
"45","Abinadab"
"46","Abinoam"
"47","Abiram"
"48","Abiram"
"49","Abishag"
"50","Abishai"
"51","Abishua"
"52","Abishua"
"53","Abishur"
"54","Abital"
"55","Abitub"
"56","Abiud"
"57","Abner"
"58","Abram"
"59","Absalom"
"60","Achaicus"
"61","Achan"
"62","Achbor"
"63","Achbor"
"64","Achbor"
"65","Achim"
"66","Achish"
"67","Achsa"
"68","Achsah"
"69","Adah"
"70","Adaiah"
"71","Adaiah"
"72","Adaiah"
"73","Adaiah"
"74","Adaiah"
"75","Adaiah"
"76","Adaiah"
"77","Adalia"
"78","Adam"
"79","Adbeel"
"80","Addar"
"81","Addi"
"82","Ader"
"83","Adiel"
"84","Adiel"
"85","Adiel"
"86","Adin"
"87","Adin"
"88","Adina"
"89","Adino"
"90","Adlai"
"91","Admatha"
"92","Adna"
"93","Adna"
"94","Adnah"
"95","Adnah"
"97","Adonijah"
"98","Adonijah"
"99","Adonijah"
"100","Adonikam"
"102","Adoram"
"103","Adrammelech"
"104","Adrammelech"
"105","Adriel"
"106","Aeneas"
"107","Agabus"
"108","Agag"
"109","Agag"
"110","Agee"
"111","Agrippa"
"112","Agur"
"113","Ahab"
"114","Ahab"
"115","Aharhel"
"116","Ahasbai"
"117","Ahasuerus"
"118","Ahaz"
"119","Ahaz"
"120","Ahaziah"
"121","Ahaziah"
"122","Ahban"
"123","Aher"
"124","Ahi"
"125","Ahi"
"126","Ahiah"
"127","Ahiah"
"128","Ahiah"
"129","Ahiam"
"130","Ahian"
"131","Ahiezer"
"132","Ahiezer"
"133","Ahihud"
"134","Ahihud"
"135","Ahijah"
"136","Ahijah"
"137","Ahijah"
"138","Ahijah"
"139","Ahijah"
"140","Ahijah"
"141","Ahikam"
"142","Ahilud"
"143","Ahimaaz"
"144","Ahimaaz"
"145","Ahimaaz"
"146","Ahiman"
"147","Ahiman"
"148","Ahimelech"
"149","Ahimelech"
"150","Ahimoth"
"151","Ahinadab"
"152","Ahinoam"
"153","Ahinoam"
"154","Ahio"
"155","Ahio"
"156","Ahio"
"157","Ahira"
"158","Ahiram"
"159","Ahisamach"
"160","Ahishahar"
"161","Ahishar"
"162","Ahithophel"
"163","Ahitub"
"164","Ahitub"
"165","Ahitub"
"166","Ahlai"
"167","Ahlai"
"168","Ahoah"
"169","Aholah"
"170","Aholiab"
"171","Aholibah"
"172","Aholibamah"
"173","Aholibamah"
"174","Ahumai"
"175","Ahuzam"
"176","Ahuzzath"
"177","Aiah"
"178","Ajah"
"179","Akan"
"180","Akkub"
"181","Akkub"
"182","Akkub"
"183","Akkub"
"184","Alameth"
"185","Alemeth"
"186","Alexander"
"187","Alexander"
"188","Alexander"
"189","Alexander"
"190","Allon"
"191","Almodad"
"192","Alphaeus"
"193","Alphaeus"
"194","Alvah"
"195","Alvan"
"196","Amal"
"197","Amalek"
"198","Amariah"
"199","Amariah"
"200","Amariah"
"201","Amariah"
"202","Amariah"
"203","Amariah"
"204","Amariah"
"205","Amariah"
"206","Amariah"
"207","Amasa"
"208","Amasa"
"209","Amasai"
"210","Amasai"
"211","Amasai"
"212","Amasai"
"213","Amasiah"
"214","Amaziah"
"215","Amaziah"
"216","Amaziah"
"217","Amaziah"
"218","Ami"
"219","Amittai"
"220","Ammiel"
"221","Ammiel"
"222","Ammiel"
"223","Ammihud"
"224","Ammihud"
"225","Ammihud"
"226","Ammihud"
"227","Ammihud"
"228","Amminadab"
"229","Amminadab"
"230","Ammishaddai"
"231","Ammizabad"
"232","Amnon"
"233","Amnon"
"234","Amok"
"235","Amon"
"236","Amon"
"237","Amorite"
"238","Amos"
"239","Amos"
"240","Amoz"
"241","Amplias"
"242","Amram"
"243","Amram"
"244","Amraphel"
"245","Amzi"
"246","Amzi"
"247","Anah"
"248","Anah"
"249","Anah"
"250","Anaiah"
"251","Anaiah"
"252","Anak"
"253","Anamim"
"254","Anammelech"
"255","Anan"
"256","Anani"
"257","Ananiah"
"258","Ananias"
"259","Ananias"
"260","Ananias"
"261","Anath"
"262","Anathoth"
"263","Anathoth"
"264","Andrew"
"265","Andronicus"
"266","Aner"
"267","Aniam"
"268","Anna"
"269","Annas"
"270","Antipas"
"271","Antothijah"
"272","Anub"
"273","Apelles"
"274","Aphiah"
"275","Aphses"
"276","Apollos"
"277","Appaim"
"278","Apphia"
"279","Aquila"
"280","Ara"
"281","Arad"
"282","Arah"
"283","Arah"
"284","Arah"
"285","Aram"
"286","Aram"
"287","Aram"
"288","Aran"
"289","Araunah"
"290","Arba"
"291","Archelaus"
"292","Archippus"
"293","Ard"
"294","Ard"
"295","Ardon"
"296","Areli"
"297","Aretas"
"298","Argob"
"299","Aridai"
"300","Aridatha"
"301","Arieh"
"302","Ariel"
"303","Arioch"
"304","Arioch"
"305","Arisai"
"306","Aristarchus"
"308","Arkite"
"309","Armoni"
"310","Arnan"
"311","Arodi"
"312","Arphaxad"
"313","Artaxerxes"
"314","Artaxerxes"
"315","Artemas"
"316","Arvadite"
"317","Arza"
"318","Asa"
"319","Asa"
"320","Asahel"
"321","Asahel"
"322","Asahel"
"323","Asahel"
"324","Asahiah"
"325","Asaiah"
"326","Asaiah"
"327","Asaiah"
"328","Asaiah"
"329","Asaph"
"330","Asaph"
"331","Asaph"
"332","Asaph"
"333","Asareel"
"334","Asarelah"
"335","Asenath"
"336","Ashbel"
"337","Asher"
"338","Ashkenaz"
"339","Ashpenaz"
"340","Ashriel"
"341","Ashtoreth"
"342","Ashur"
"343","Ashvath"
"344","Asiel"
"345","Asnah"
"347","Aspatha"
"348","Asriel"
"349","Asshur"
"350","Asshurim"
"351","Assir"
"352","Assir"
"353","Asyncritus"
"354","Atarah"
"355","Ater"
"356","Ater"
"357","Ater"
"358","Athaiah"
"359","Athaliah"
"360","Athaliah"
"361","Athaliah"
"362","Athlai"
"363","Attai"
"364","Attai"
"365","Attai"
"366","Augustus"
"367","Azaliah"
"368","Azaniah"
"369","Azarael"
"370","Azareel"
"371","Azareel"
"372","Azareel"
"373","Azariah"
"374","Azariah"
"375","Azariah"
"376","Azariah"
"377","Azariah"
"378","Azariah"
"379","Azariah"
"380","Azariah"
"381","Azariah"
"382","Azariah"
"383","Azariah"
"384","Azariah"
"385","Azariah"
"386","Azariah"
"387","Balak"
"388","Bani"
"389","Bani"
"390","Bani"
"391","Bani"
"392","Bani"
"393","Bani"
"394","Bani"
"395","Bani"
"396","Bani"
"397","Bani"
"398","Bani"
"399","Barabbas"
"400","Barachel"
"401","Barak"
"402","Bariah"
"404","Barkos"
"405","Bartholomew"
"406","Bartimaeus"
"407","Baruch"
"408","Baruch"
"409","Baruch"
"410","Baruch"
"411","Barzillai"
"412","Barzillai"
"413","Barzillai"
"414","Bashemath"
"415","Basmath"
"416","Bathsheba"
"417","Bavai"
"418","Bazluth"
"419","Bealiah"
"420","Bebai"
"421","Bebai"
"422","Bebai"
"423","Becher"
"424","Becher"
"425","Bechorath"
"426","Bedad"
"427","Bedan"
"428","Bedan"
"429","Bedeiah"
"430","Beera"
"431","Beerah"
"432","Beeri"
"433","Beeri"
"434","Bela"
"435","Bela"
"436","Belah"
"437","Belshazzar"
"438","Ben"
"439","Benaiah"
"440","Benaiah"
"441","Benaiah"
"442","Benaiah"
"443","Benaiah"
"444","Benaiah"
"445","Benaiah"
"446","Benaiah"
"447","Benaiah"
"448","Benaiah"
"449","Benaiah"
"450","Benaiah"
"455","Benhail"
"457","Beninu"
"458","Benjamin"
"459","Benjamin"
"460","Benjamin"
"461","Benjamin"
"462","Beno"
"465","Beor"
"466","Beor"
"467","Bera"
"468","Berachah"
"469","Berachiah"
