groupName,members,partOf,verses,events,modified,events_dev
Tribe of Levi,"aaron_1,abdi_6,abiah_15,abihu_33,abishua_51,adaiah_1592,ahimaaz_144,ahitub_164,ahitub_165,amariah_198,amariah_199,amariah_200,amasai_209,amaziah_216,ammiel_222,amram_242,amzi_245,asaiah_326,asaph_330,assir_351,assir_352,azariah_2925,azariah_373,azariah_378,azariah_379,baaseiah_588,bani_389,beno_462,berechiah_469,beriah_481,bukki_523,bukkiah_524,ebiasaph_19,eder_1035,eleazar_1062,eleazar_1065,eliashib_1100,eliathah_1102,eliezer_1114,elihu_1126,elihu_1128,elizaphan_1189,elkanah_1167,elkanah_1168,elkanah_1169,elkanah_1170,elzabad_1188,ethan_1622,ezra_1245,gedaliah_1288,gemariah_1295,gershom_1302,gershon_1305,giddalti_1311,haggiah_1352,hanani_1380,hananiah_1386,hashabiah_1428,hashabiah_1430,hebron_1475,heman_1490,hilkiah_1524,hilkiah_1525,hothir_1564,ibri_1587,issachar_646,isshiah_901,ithamar_649,izhar_658,izri_3051,jaaziah_671,jaddua_687,jahath_692,jahath_693,jahaziel_698,jeaterai_746,jeduthun_1224,jehdeiah_766,jehozabad_813,jekameam_834,jerahmeel_844,jeremoth_857,jeriah_860,jerimoth_867,jeroham_874,jeshaiah_647,jeshaiah_885,jesharelah_334,jeush_1602,joah_1623,jochebed_1645,joel_1647,johanan_1669,johanan_1698,joiada_1680,joiakim_1681,joram_1706,josedech_815,joseph_1712,joshbekashah_1726,joshua_893,kish_1785,kishi_1788,kohath_1790,korah_1795,kore_1797,laadan_1823,levi_1820,libni_1824,mahath_150,mahazioth_1893,mahli_1889,mahli_1896,malchiah_1901,mallothi_1917,malluch_1918,mattaniah_1952,mattithiah_1974,meraioth_2003,merari_2004,michael_2061,michah_2052,miriam_2087,mishael_2090,moses_2108,mushi_2116,nadab_2128,nahath_2876,nepheg_2178,nethaneel_2192,nethaniah_2199,obed_2231,othni_2258,peulthai_2324,phinehas_2349,rehabiah_2409,rephael_2421,romamti-ezer_2446,sacar_2453,samuel_2469,semachiah_2487,seraiah_2494,shallum_2519,shamer_2533,shamir_2536,shaul_2563,shelomith_2609,shelomoth_2608,shemaiah_2627,shimea_2680,shimea_2681,shimei_2233,shimei_2689,shimei_2699,shimei_691,shoham_2723,shubael_2579,shubael_2580,son_of_joiada_2768,tahath_2814,uriel_2900,uzza_2913,uzzi_2917,uzziel_2929,uzziel_2932,zaccur_2964,zaccur_2965,zadok_2973,zadok_2975,zechariah_3005,zerah_3045,zerahiah_3047,zichri_3065,zichri_3070,zimmah_3084,zithri_3096,zizah_3090,zuph_3108,meshelemiah_2013,shallum_2520",,,,2020-09-07 20:00,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Benjamin,"abiah_17,abihud_34,abishua_52,addar_80,ahiah_128,ahihud_134,ahiram_158,ahishahar_160,ahoah_168,alameth_184,anathoth_262,ard_293,ard_294,ashbel_336,becher_423,bela_436,benjamin_458,benjamin_463,bilhan_504,chenaanah_933,ehi_1038,ehud_1039,ehud_1040,eliezer_1115,elioenai_1137,ezbon_1236,gera_1298,gera_1300,gera_1301,huram_1569,iri_613,jediael_757,jerimoth_864,jerimoth_865,jeush_1601,joash_1635,naaman_2121,naaman_2123,nohah_2120,omri_2244,rapha_2447,shupham_2115,tharshish_2847,uzza_2914,uzzi_2919,uzziel_2931,zemira_3037,zethan_3057",,,,2020-09-07 20:00,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Joseph,"abiezer_763,ahian_130,ammihud_223,aniam_267,ashriel_340,asriel_348,becher_424,bedan_428,bered_476,beriah_479,daughter_of_machir_986,eladah_1042,elead_1059,elishama_1155,ephraim_1206,eran_1212,ezer_1240,gilead_1317,hammoleketh_1364,helek_1481,hepher_1496,hoglah_1548,joseph_1710,joshua_1727,laadan_1802,likhi_1825,machir_1877,mahlah_1895,manasseh_1928,milcah_2083,noah_2211,nun_2214,peresh_2316,rakem_2390,rephah_2422,resheph_2427,shechem_2589,shechem_2590,shemida_2650,sherah_2666,sheresh_2669,shuthelah_2734,shuthelah_2735,tahan_2812,tahan_2813,tahath_2815,tahath_2816,telah_2835,tirzah_2868,ulam_2889,zabad_2946,zelophehad_3035",,,,2020-09-07 20:00,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Judah,"abihail_31,abijah_38,abinadab_44,abishur_53,abiud_56,absalom_59,achan_61,achim_65,achsa_67,addi_81,adonijah_97,aharhel_115,ahaz_118,ahaziah_121,ahban_122,ahijah_137,ahlai_166,ahumai_174,ahuzam_175,akkub_180,amaziah_214,amminadab_228,amnon_232,amon_236,amos_239,anani_256,anub_272,appaim_277,ardon_295,arnan_310,asa_318,ashur_342,attai_365,azariah_376,azariah_381,azariah_382,azor_559,azrikam_563,bariah_402,basmath_415,berechiah_471,bezaleel_490,boaz_519,bunah_525,calcol_536,caleb_538,carmi_921,cosam_957,coz_958,dalaiah_970,daniel_939,dara_976,david_994,eker_1041,eleazar_1069,eliab_1075,eliada_1078,eliakim_1087,eliakim_1088,eliashib_1093,eliezer_1123,elihu_1129,elioenai_1135,eliphalet_1143,elishama_1156,elisheba_1162,elishua_1163,eliud_1164,elmodam_1175,elpalet_1148,ephah_1199,er_1209,er_1210,er_1211,esli_1221,ethan_1223,ethnan_1226,ezer_1239,gazez_1282,gazez_1283,gesham_1306,haahashtari_1332,hamul_1367,hananiah_1384,haran_1408,hareph_1412,harum_1423,hasadiah_1426,hashubah_1445,hattush_1457,hazelelponi_1466,hebron_1476,heli_1484,heman_1489,hepher_1497,hezekiah_1512,hezekiah_1513,hezron_1520,hodaiah_1539,hoshama_1558,hur_1571,ibhar_1584,idbash_1590,igeal_595,ishi_623,ishma_629,ithream_655,jacob_683,jada_684,jahath_690,jahdai_701,jair_708,james_719,jamin_721,janna_724,japhia_728,jecamiah_749,jehiel_773,jehoahaz_2516,jehoiachin_791,jehoiakim_1085,jehoram_803,jehoshabeath_811,jehoshaphat_808,jerahmeel_843,jerimoth_869,jesaiah_883,jesher_889,jesse_903,jesus_905,jether_908,jeush_1603,jezoar_1610,jezreel_1612,joanna_1628,joash_1632,joash_1634,johanan_1667,johanan_1668,jokim_1684,jonadab_1688,jonan_1690,jonathan_1695,jorim_1707,jose_1709,joseph_1715,joseph_1717,joseph_1718,joseph_1719,joses_1721,josiah_1730,jotham_1735,jotham_1736,juda_1749,juda_1750,judah_1751,jude_1756,jushab-hesed_1765,korah_1796,laadah_1801,lahad_1805,levi_1821,levi_1822,maaseiah_1852,maath_1871,maaz_1872,mahalath_1888,malchiram_1915,manasseh_1930,maon_1935,mary_1938,mattatha_1961,mattathias_1963,mattathias_1964,matthan_1968,matthat_1969,matthat_1970,melchi_1987,melchi_1988,melea_1992,menan_1997,mesha_2010,meshullam_2021,michael_2066,molid_2105,moza_2113,nadab_2130,nagge_2132,nahshon_2144,nathan_2152,naum_2160,neariah_2161,nedabiah_2170,nepheg_2179,neri_2185,nethaneel_2189,nogah_2213,obadiah_2216,obed_2228,ohel_2240,onam_2249,onan_2250,oren_2256,ozem_2260,ozem_2261,pedaiah_2293,pelaiah_2301,pelatiah_2304,pelet_2309,peleth_2312,penuel_2314,pharez_2338,raddai_2387,raham_2389,ram_2391,ram_2392,reaiah_1421,regem_2407,rehoboam_2412,rekem_2419,rephaiah_2423,rhesa_2438,sadoc_2454,salathiel_2457,salma_2462,salmon_2463,saraph_2474,segub_2484,seled_2486,semei_2488,shaaph_2506,shaaph_2507,shamariah_2531,shammah_2700,shammai_2542,shammai_2543,shammua_2547,shaphat_2554,shealtiel_2456,sheber_2576,shechaniah_2583,shelah_2593,shelomith_2606,shelomith_2610,shema_2614,shemaiah_2620,shenazar_2655,shephatiah_2657,shephatiah_2660,sheshan_2672,sheva_2675,shimei_2686,shobab_2715,shobab_2716,shobal_2720,simeon_2743,simon_2747,solomon_2762,tamar_2822,tamar_2823,taphath_2825,tappuah_2826,temeni_2840,tirhanah_2866,uri_2895,uzziah_375,zabdi_2954,zaham_2980,zaza_2987,zechariah_3010,zedekiah_1950,zedekiah_3030,zerah_2984,zereth_3050,zerubbabel_3054,ziza_3098,zobebah_3100,zorobabel_3106",,Prov.25.1,,2020-09-07 20:00,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Genealogy of Jesus,"abijah_14,abijah_38,abiud_56,abraham_58,absalom_59,achim_65,adaiah_70,adam_78,addi_81,ahab_113,ahaz_118,ahaziah_121,amaziah_214,ammihud_226,amminadab_228,amon_236,amos_239,arphaxad_312,asa_318,athaliah_359,azor_559,azubah_567,bathsheba_416,boaz_519,cainan_534,cainan_535,cosam_957,david_994,eber_1030,eleazar_1069,eliakim_1087,eliakim_1088,eliam_1089,eliezer_1123,eliud_1164,elmodam_1175,elnathan_1177,enoch_1192,enos_1193,er_1211,esli_1221,ethbaal_1225,eve_1231,god_1324,haruz_1425,heli_1484,hephzi-bah_1499,hezekiah_1512,hezron_1520,isaac_616,israel_682,jacob_683,janna_724,jared_730,jecoliah_750,jedidah_761,jehoaddan_783,jehoiachin_791,jehoiakim_1085,jehoram_803,jehoshaphat_808,jerushah_882,jesse_903,jesus_905,jezebel_1605,joanna_1628,joash_1632,jonan_1690,jorim_1707,jose_1709,joseph_1715,joseph_1717,joseph_1718,joseph_1719,josiah_1730,jotham_1735,juda_1749,juda_1750,judah_1751,lamech_1809,levi_1821,levi_1822,maacah_1839,maachah_1841,maath_1871,mahalaleel_1885,manasseh_1930,mary_1938,mattatha_1961,mattathias_1963,mattathias_1964,matthan_1968,matthat_1969,matthat_1970,melchi_1987,melchi_1988,melea_1992,menan_1997,meshullemeth_2040,methuselah_2042,naamah_2119,nagge_2132,nahor_2142,nahshon_2144,nathan_2152,naum_2160,nehushta_2174,neri_2185,noah_2210,obed_2228,omri_2243,pedaiah_2292,pedaiah_2293,peleg_2308,pharez_2338,rachab_2385,ram_2391,rehoboam_2412,reu_2428,rhesa_2438,ruth_2450,sadoc_2454,salah_2455,salathiel_2457,salmon_2463,semei_2488,serug_2503,seth_2504,shem_2613,shilhi_2676,simeon_2743,solomon_2762,talmai_2819,tamar_2821,terah_2841,uriel_2902,uzziah_375,zadok_2974,zebudah_3000,zechariah_2970,zerubbabel_3054,zibiah_3064,zorobabel_3106",,,,,
Tribe of Reuben,"abiram_47,carmi_920,dathan_982,eliab_1074,hanoch_1403,hezron_1519,nemuel_2177,pallu_2325,reuben_2429",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Asher,"ahi_125,amal_196,ara_280,arah_282,aram_287,asher_337,ashvath_343,beera_430,beri_477,beriah_478,bezer_492,bimhal_506,birzavith_514,haniel_1399,harnepher_1420,heber_1469,hod_1538,hotham_1562,imna_601,imnah_1616,imrah_603,isuah_640,isui_648,japhlet_729,jehubbah_821,jephunneh_841,jether_654,malchiel_1908,pasach_2279,pispah_2362,rezia_2434,rohgah_2445,serah_2492,shamer_2725,shamma_2537,shelesh_2603,shilshah_2679,shua_2726,suah_2803,ulla_2730,zophah_3104",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Gad,"areli_296,arod_311,eri_1214,gad_1262,haggi_1351,ozni_1235,shuni_2731,zephon_3093",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Dan,"dan_973,hushim_1579",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
Tribe of Zebulun,"elon_1183,jahleel_704,sered_2501,zebulun_3002",Nation of Israel,,,2020-09-13 02:02,"Exodus from Egypt,Wilderness Wanderings,Crossing the Jordan into Canaan"
