"Primary","RelatedTo","RelType"
"1","33","father"
"1","242","child"
"1","649","father"
"1","1062","father"
"1","1162","spouseOrConcubine"
"1","1645","child"
"1","2087","sibling"
"1","2108","sibling"
"1","2128","father"
"4","102","father"
"5","2599","father"
"6","1788","father"
"6","1918","child"
"7","1786","father"
"9","124","father"
"9","1331","child"
"10","1530","child"
"11","271","sibling"
"11","606","sibling"
"11","639","sibling"
"11","1050","sibling"
"11","1106","sibling"
"11","1370","sibling"
"11","1385","sibling"
"11","1474","sibling"
"11","2315","sibling"
"11","2561","child"
"11","3067","sibling"
"12","23","child"
"12","156","sibling"
"12","575","sibling"
"12","1292","sibling"
"12","1784","sibling"
"12","1844","child"
"12","2078","sibling"
"12","2131","sibling"
"12","2181","sibling"
"12","2972","sibling"
"12","3111","sibling"
"13","78","child"
"13","533","sibling"
"13","1231","child"
"13","2504","sibling"
"14","118","spouseOrConcubine"
"14","1512","mother"
"14","2970","child"
"15","1647","sibling"
"15","2469","child"
"16","342","mother"
"16","1520","spouseOrConcubine"
"17","184","sibling"
"17","262","sibling"
"17","423","child"
"17","865","sibling"
"17","1115","sibling"
"17","1137","sibling"
"17","1635","sibling"
"17","2244","sibling"
"17","3037","sibling"
"19","351","sibling"
"19","352","father"
"19","1167","sibling"
"19","1795","child"
"19","1797","father"
"20","126","child"
"20","149","father"
"20","1693","father"
"21","1057","sibling"
"21","1197","sibling"
"21","1201","sibling"
"21","1402","sibling"
"21","2075","child"
"22","1315","child"
"23","12","father"
"23","156","father"
"23","575","father"
"23","1292","father"
"23","1784","father"
"23","1844","spouseOrConcubine"
"23","2078","father"
"23","2131","father"
"23","2181","father"
"23","2972","father"
"23","3052","child"
"23","3111","father"
"25","638","sibling"
"25","1364","child"
"25","1884","sibling"
"26","939","mother"
"26","994","spouseOrConcubine"
"26","2126","spouseOrConcubine"
"27","207","mother"
"27","907","spouseOrConcubine"
"27","994","halfSiblingSameMother"
"27","2138","child"
"27","2941","child"
"27","3055","sibling"
"28","3112","father"
"29","53","spouseOrConcubine"
"29","122","mother"
"29","2105","mother"
"30","678","father"
"30","1472","father"
"30","1576","child"
"30","1704","father"
"30","2022","father"
"30","2059","father"
"30","2571","father"
"30","3059","father"
"31","1075","child"
"31","1603","mother"
"31","2412","spouseOrConcubine"
"31","2531","mother"
"31","2980","mother"
"32","1343","father"
"33","1","child"
"33","649","sibling"
"33","1062","sibling"
"33","1162","child"
"33","2128","sibling"
"34","52","sibling"
"34","80","sibling"
"34","168","sibling"
"34","294","sibling"
"34","436","child"
"34","613","sibling"
"34","864","sibling"
"34","1236","sibling"
"34","1300","sibling"
"34","2121","sibling"
"34","2919","sibling"
"34","2931","sibling"
"35","872","child"
"35","2129","sibling"
"38","318","father"
"38","365","sibling"
"38","1603","halfSiblingSameFather"
"38","1841","child"
"38","2412","child"
"38","2531","halfSiblingSameFather"
"38","2610","sibling"
"38","2980","halfSiblingSameFather"
"38","3098","sibling"
"39","191","sibling"
"39","842","sibling"
"39","1011","sibling"
"39","1345","sibling"
"39","1462","sibling"
"39","1465","sibling"
"39","1640","sibling"
"39","1686","child"
"39","2227","sibling"
"39","2253","sibling"
"39","2568","sibling"
"39","2602","sibling"
"39","2911","sibling"
"41","906","sibling"
"41","1314","child"
"41","1734","sibling"
"42","881","child"
"43","154","father"
"43","1063","father"
"43","2916","father"
"44","903","child"
"44","994","sibling"
"44","1075","sibling"
"44","1129","sibling"
"44","2189","sibling"
"44","2260","sibling"
"44","2387","sibling"
"44","2700","sibling"
"45","2763","father"
"46","401","father"
"47","982","sibling"
"47","1074","child"
"47","2177","sibling"
"48","1522","child"
"48","2483","sibling"
"50","320","sibling"
"50","1617","sibling"
"50","3055","child"
"51","523","father"
"51","2349","child"
"52","34","sibling"
"52","80","sibling"
"52","168","sibling"
"52","294","sibling"
"52","436","child"
"52","613","sibling"
"52","864","sibling"
"52","1236","sibling"
"52","1300","sibling"
"52","2121","sibling"
"52","2919","sibling"
"52","2931","sibling"
"53","29","spouseOrConcubine"
"53","122","father"
"53","2105","father"
"53","2130","sibling"
"53","2542","child"
"54","994","spouseOrConcubine"
"54","2657","mother"
"55","1185","sibling"
"55","1581","child"
"55","1604","halfSiblingSameFather"
"55","1643","halfSiblingSameFather"
"55","1900","halfSiblingSameFather"
"55","2011","halfSiblingSameFather"
"55","2089","halfSiblingSameFather"
"55","2512","halfSiblingSameFather"
"55","2513","child"
"55","3063","halfSiblingSameFather"
"56","471","sibling"
"56","1087","father"
"56","1384","sibling"
"56","1426","sibling"
"56","1445","sibling"
"56","1765","sibling"
"56","2021","sibling"
"56","2240","sibling"
"56","2606","sibling"
"56","3054","child"
"57","666","father"
"57","2181","child"
"58","616","father"
"58","620","father"
"58","630","father"
"58","1348","spouseOrConcubine"
"58","1407","sibling"
"58","1685","father"
"58","1782","spouseOrConcubine"
"58","1978","father"
"58","2075","father"
"58","2143","sibling"
"58","2473","spouseOrConcubine"
"58","2727","father"
"58","2841","child"
"58","3086","father"
"59","97","halfSiblingSameFather"
"59","232","halfSiblingSameFather"
"59","655","halfSiblingSameFather"
"59","728","sibling"
"59","869","sibling"
"59","939","halfSiblingSameFather"
"59","994","child"
"59","1078","sibling"
"59","1143","sibling"
"59","1148","sibling"
"59","1156","sibling"
"59","1163","sibling"
"59","1584","sibling"
"59","1839","child"
"59","2152","halfSiblingSameFather"
"59","2179","sibling"
"59","2213","sibling"
"59","2547","halfSiblingSameFather"
"59","2657","halfSiblingSameFather"
"59","2715","halfSiblingSameFather"
"59","2762","halfSiblingSameFather"
"59","2822","sibling"
"59","2823","father"
"61","921","child"
"62","576","father"
"63","2069","child"
"64","1181","father"
"65","1164","father"
"65","2454","child"
"66","1934","child"
"67","295","sibling"
"67","538","child"
"67","701","sibling"
"67","889","sibling"
"67","1282","sibling"
"67","1408","sibling"
"67","1571","sibling"
"67","2010","sibling"
"67","2113","sibling"
"67","2507","sibling"
"67","2576","sibling"
"67","2675","sibling"
"67","2716","sibling"
"67","2866","sibling"
"68","537","child"
"68","615","sibling"
"68","1047","sibling"
"68","2117","sibling"
"68","2259","spouseOrConcubine"
"69","673","mother"
"69","1748","mother"
"69","1808","spouseOrConcubine"
"70","761","father"
"71","470","sibling"
"71","713","sibling"
"71","1105","sibling"
"71","1112","sibling"
"71","2698","child"
"71","2702","sibling"
"71","2955","sibling"
"71","3066","sibling"
"71","3082","sibling"
"72","877","child"
"73","1850","father"
"76","1464","father"
"76","1683","child"
"77","299","sibling"
"77","300","sibling"
"77","305","sibling"
"77","347","sibling"
"77","971","sibling"
"77","1360","child"
"77","2271","sibling"
"77","2277","sibling"
"77","2366","sibling"
"77","2935","sibling"
"78","13","father"
"78","533","father"
"78","1231","spouseOrConcubine"
"78","1324","child"
"78","2504","father"
"79","630","child"
"79","911","sibling"
"79","1025","sibling"
"79","1341","sibling"
"79","1769","sibling"
"79","1770","sibling"
"79","1887","sibling"
"79","1945","sibling"
"79","2046","sibling"
"79","2094","sibling"
"79","2148","sibling"
"79","2164","sibling"
"79","2837","sibling"
"80","34","sibling"
"80","52","sibling"
"80","168","sibling"
"80","294","sibling"
"80","436","child"
"80","613","sibling"
"80","864","sibling"
"80","1236","sibling"
"80","1300","sibling"
"80","2121","sibling"
"80","2919","sibling"
"80","2931","sibling"
"81","957","child"
"81","1988","father"
"82","155","sibling"
"82","281","sibling"
"82","480","child"
"82","644","sibling"
"82","856","sibling"
"82","1664","sibling"
"82","2063","sibling"
"82","2561","sibling"
"82","2988","sibling"
"84","707","child"
"84","1870","father"
"85","558","father"
"88","2714","child"
"90","2556","father"
"97","59","halfSiblingSameFather"
"97","232","halfSiblingSameFather"
"97","655","halfSiblingSameFather"
"97","728","sibling"
"97","869","sibling"
"97","939","halfSiblingSameFather"
"97","994","child"
"97","1078","sibling"
"97","1143","sibling"
"97","1148","sibling"
"97","1156","sibling"
"97","1163","sibling"
"97","1353","child"
"97","1584","sibling"
"97","2152","halfSiblingSameFather"
"97","2179","sibling"
"97","2213","sibling"
"97","2547","halfSiblingSameFather"
"97","2657","halfSiblingSameFather"
"97","2715","halfSiblingSameFather"
"97","2762","halfSiblingSameFather"
"97","2822","sibling"
"102","4","child"
"104","1215","sibling"
"104","2489","child"
"104","2559","sibling"
"105","412","child"
"105","2001","spouseOrConcubine"
"110","2539","father"
"112","712","child"
"113","120","father"
"113","359","father"
"113","804","father"
"113","1605","spouseOrConcubine"
"113","1631","father"
"113","2243","child"
"114","1792","child"
"115","1423","child"
"116","1147","father"
"117","980","father"
"117","2937","spouseOrConcubine"
"118","14","spouseOrConcubine"
"118","1512","father"
"118","1735","child"
"118","1852","father"
"119","782","father"
"119","1993","sibling"
"119","2055","child"
"119","2363","sibling"
"119","2827","sibling"
"120","113","child"
"120","359","sibling"
"120","804","sibling"
"120","1605","child"
"120","1631","sibling"
"121","359","child"
"121","803","child"
"121","811","sibling"
"121","1632","father"
"121","3064","spouseOrConcubine"
"122","29","child"
"122","53","child"
"122","2105","sibling"
"123","1580","father"
"124","9","child"
"125","287","sibling"
"125","821","sibling"
"125","2445","sibling"
"125","2725","child"
"126","20","father"
"126","163","child"
"127","1125","sibling"
"127","2493","child"
"128","134","sibling"
"128","1039","child"
"128","1301","sibling"
"128","2123","sibling"
"128","2914","sibling"
"129","2558","child"
"130","267","sibling"
"130","1825","sibling"
"130","2590","sibling"
"130","2650","child"
"131","230","child"
"132","1636","sibling"
"132","2618","child"
"133","2604","child"
"134","128","sibling"
"134","1039","child"
"134","1301","sibling"
"134","2123","sibling"
"134","2914","sibling"
"136","589","father"
"137","525","sibling"
"137","843","child"
"137","2249","sibling"
"137","2256","sibling"
"137","2261","sibling"
"137","2392","sibling"
"141","1056","sibling"
"141","1287","father"
"141","1296","sibling"
"141","2550","child"
"142","580","father"
"142","806","father"
"143","152","father"
"144","373","father"
"144","2973","child"
"145","415","spouseOrConcubine"
"146","252","child"
"146","2671","sibling"
"146","2818","sibling"
"149","20","child"
"149","1693","sibling"
"150","209","child"
"150","1170","father"
"151","1591","child"
"152","143","child"
"152","641","mother"
"152","1692","mother"
"152","1990","mother"
"152","2001","mother"
"152","2073","mother"
"152","2478","spouseOrConcubine"
"153","232","mother"
"153","994","spouseOrConcubine"
"154","43","child"
"154","1063","sibling"
"154","2916","sibling"
"155","82","sibling"
"155","281","sibling"
"155","480","child"
"155","644","sibling"
"155","856","sibling"
"155","1664","sibling"
"155","2063","sibling"
"155","2561","sibling"
"155","2988","sibling"
"156","12","sibling"
"156","23","child"
"156","575","sibling"
"156","1292","sibling"
"156","1784","sibling"
"156","1844","child"
"156","2078","sibling"
"156","2131","sibling"
"156","2181","sibling"
"156","2972","sibling"
"156","3111","sibling"
"157","1190","child"
"158","293","sibling"
"158","336","sibling"
"158","423","sibling"
"158","436","sibling"
"158","463","child"
"158","757","sibling"
"158","1038","sibling"
"158","1298","sibling"
"158","1569","sibling"
"158","2115","sibling"
"158","2120","sibling"
"158","2447","sibling"
"159","170","father"
"160","458","sibling"
"160","504","child"
"160","933","sibling"
"160","1040","sibling"
"160","1601","sibling"
"160","2847","sibling"
"160","3057","sibling"
"162","1090","father"
"163","126","father"
"163","1589","sibling"
"163","2350","child"
"164","198","child"
"164","2973","father"
"165","199","child"
"165","2975","father"
"166","363","mother"
"166","732","spouseOrConcubine"
"166","2672","child"
"167","2947","father"
"168","34","sibling"
"168","52","sibling"
"168","80","sibling"
"168","294","sibling"
"168","436","child"
"168","613","sibling"
"168","864","sibling"
"168","1236","sibling"
"168","1300","sibling"
"168","2121","sibling"
"168","2919","sibling"
"168","2931","sibling"
"169","171","sibling"
"169","2109","child"
"170","159","child"
"171","169","sibling"
"171","2109","child"
"172","248","child"
"172","1017","sibling"
"174","690","child"
"174","1805","sibling"
"175","342","child"
"175","958","halfSiblingSameFather"
"175","1226","halfSiblingSameFather"
"175","1332","sibling"
"175","1497","sibling"
"175","1610","halfSiblingSameFather"
"175","2124","child"
"175","2840","sibling"
"175","3050","halfSiblingSameFather"
"177","2444","father"
"178","249","sibling"
"178","3062","child"
"179","503","sibling"
"179","1238","child"
"179","2944","sibling"
"180","256","sibling"
"180","970","sibling"
"180","1093","sibling"
"180","1135","child"
"180","1539","sibling"
"180","1668","sibling"
"180","2301","sibling"
"184","17","sibling"
"184","262","sibling"
"184","423","child"
"184","865","sibling"
"184","1115","sibling"
"184","1137","sibling"
"184","1635","sibling"
