"PlaceMarkID","Latitude","Longitude","Label"
"1","0.0","0.0","Unknown Location"
"2","9.02","38.74","Seba"
"3","14.55","44.39","Sephar"
"4","15.35","44.21","Uzal"
"5","15.68","42.78","Raamah"
"6","21.95","31.34","Cush"
"7","22.0","77.0","Ophir"
"8","24.06","32.89","Syene"
"9","25.7","32.63","Thebes"
"10","26.62","37.91","Dedan"
"11","27.08","34.77","Red Sea"
"12","27.4","37.7","Kedar"
"13","27.63","38.55","Tema"
"14","28.32","30.69","Pathros"
"15","28.5","34.51","Dizahab"
"16","28.53","33.97","Sinai"
"17","28.73","33.84","Rephidim"
"18","28.77","33.4","Alush"
"19","28.83","33.42","Pelusium"
"20","28.85","34.85","Mesha"
"21","28.91","34.5","Hazeroth"
"22","28.93","34.9","Ephah"
"23","29.08","30.93","Hanes"
"24","29.15","33.54","Paran"
"25","29.3","32.98","Elim"
"26","29.35","32.93","Marah"
"27","29.52","35.0","Elath"
"28","29.75","35.03","Ezion-geber"
"29","29.84","31.25","Memphis"
"30","29.93","32.39","Baal-zephon"
"31","29.94","32.42","Pi-hahiroth"
"32","30.02","32.37","Migdol"
"33","30.03","36.44","Uz"
"34","30.09","31.23","Nile"
"35","30.1","31.33","On"
"36","30.14","35.22","Havilah"
"37","30.2","35.73","Teman"
"38","30.23","33.24","Shur"
"39","30.3","34.2","Negeb"
"40","30.31","35.4","Hor"
"41","30.32","35.45","Sela"
"42","30.33","35.52","Dinhabah"
"43","30.35","35.19","Gudgodah"
"44","30.46","32.28","Etham"
"45","30.58","31.5","Pi-beseth"
"46","30.59","32.18","Pithom"
"47","30.62","32.25","Succoth"
"48","30.65","34.83","Amalek"
"49","30.68","34.49","Kadesh"
"50","30.68","35.26","Akrabbim"
"51","30.72","31.8","Goshen"
"52","30.73","35.6","Edom"
"53","30.79","31.83","Rameses"
"54","30.86","32.17","Tahpanhes"
"55","30.88","34.63","Hormah"
"56","30.88","35.89","Zered"
"57","30.91","34.83","Halak"
"58","30.92","35.41","Zoar"
"59","30.93","35.61","Tophel"
"60","30.95","34.71","Hazar-addar"
"61","30.95","34.38","Azmon"
"62","30.96","46.1","Ur"
"63","30.97","31.88","Zoan"
"64","30.99","35.49","Eglaim"
"65","31.02","35.06","Tamar"
"66","31.03","33.85","Egypt"
"67","31.06","34.59","Rehoboth"
"68","31.08","35.38","Salt"
"69","31.1","35.47","Zeboim"
"70","31.11","35.41","Admah"
"71","31.13","35.53","Nimrim"
"72","31.14","34.98","Aroer"
"73","31.15","35.47","Gomorrah"
"74","31.16","35.05","Moladah"
"75","31.18","35.7","Kir"
"76","31.18","34.96","Kabzeel"
"77","31.19","35.39","Sodom"
"78","31.21","34.94","Hazar-shual"
"79","31.22","29.95","Alexandria"
