"StrongsID","lemma","xlit","pronounce","description","PartOfSpeech","Language"
"G1","Α","A","al'-fah","of Hebrew origin; the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: --Alpha. Often used (usually , before a vowel) also in composition (as a contraction from ἄνευ) in the sense of privation; so, in many words, beginning with this letter; occasionally in the sense of union (as a contraction of ἅμα).","Letter","greek"
"G10","Ἀβιούδ","Abioúd","ab-ee-ood'","of Hebrew origin (אֲבִיהוּד); Abihud, an Israelite:--Abiud.","Proper Name Location","greek"
"G100","ἁδρότης","hadrótēs","had-rot'-ace","from  (stout); plumpness, i.e. (figuratively) liberality:--abundance.","Noun Feminine","greek"
"G1000","βολή","bolḗ","bol-ay'","from βάλλω; a throw (as a measure of distance):--cast.","Noun Feminine","greek"
"G1001","βολίζω","bolízō","bol-id'-zo","from βολίς; to heave the lead:--sound.","Verb","greek"
"G1002","βολίς","bolís","bol-ece'","from βάλλω; a missile, i.e. javelin:--dart.","Noun Feminine","greek"
"G1003","Βοόζ","Boóz","bo-oz'","of Hebrew origin (בֹּעַז); Booz, (i.e. Boaz), an Israelite:--Booz.","Noun Masculine","greek"
"G1004","βόρβορος","bórboros","bor'-bor-os","of uncertain derivation; mud:--mire.","Noun Masculine","greek"
"G1005","βοῤῥᾶς","borrhâs","bor-hras'","of uncertain derivation; the north (properly, wind):--north.","Noun Masculine","greek"
"G1006","βόσκω","bóskō","bos'-ko","a prolonged form of a primary verb (compare βιβρώσκω, βοῦς); to pasture; by extension to, fodder; reflexively, to graze:--feed, keep.","Verb","greek"
"G1007","Βοσόρ","Bosór","bos-or'","of Hebrew origin (בְּעוֹר); Bosor (i.e. Beor), a Moabite:--Bosor.","Noun Masculine","greek"
"G1008","βοτάνη","botánē","bot-an'-ay","from βόσκω; herbage (as if for grazing):--herb.","Noun Feminine","greek"
"G1009","βότρυς","bótrys","bot'-rooce","of uncertain derivation; a bunch (of grapes):--(vine) cluster (of the vine).","Noun Masculine","greek"
"G101","ἀδυνατέω","adynatéō","ad-oo-nat-eh'-o","from ἀδύνατος; to be unable, i.e. (passively) impossible:--be impossible.","Verb","greek"
"G1010","βουλευτής","bouleutḗs","bool-yoo-tace'","from βουλεύω; an adviser, i.e. (specially) a councillor or member of the Jewish Sanhedrin:--counsellor.","Noun Masculine","greek"
"G1011","βουλεύω","bouleúō","bool-yoo'-o","from βουλή; to advise, i.e. (reflexively) deliberate, or (by implication) resolve:--consult, take counsel, determine, be minded, purpose.","Verb","greek"
"G1012","βουλή","boulḗ","boo-lay'","from βούλομαι; volition, i.e. (objectively) advice, or (by implication) purpose:--+ advise, counsel, will.","Noun Feminine","greek"
"G1013","βούλημα","boúlēma","boo'-lay-mah","from βούλομαι; a resolve:--purpose, will.","Noun Neuter","greek"
"G1014","βούλομαι","boúlomai","boo'-lom-ahee","middle voice of a primary verb; to ""will,"" i.e. (reflexively) be willing:--be disposed, minded, intend, list, (be, of own) will (-ing). Compare θέλω.","Verb","greek"
"G1015","βουνός","bounós","boo-nos'","probably of foreign origin; a hillock:--hill.","Noun Masculine","greek"
"G1016","βοῦς","boûs","booce","probably from the base of βόσκω; an ox (as grazing), i.e. an animal of that species (""beef""):--ox.","Noun Masculine","greek"
"G1017","βραβεῖον","brabeîon","brab-i'-on","from  (an umpire of uncertain derivation); an award (of arbitration), i.e. (specially) a prize in the public games:--prize.","Noun Neuter","greek"
"G1018","βραβεύω","brabeúō","brab-yoo'-o","from the same as βραβεῖον; to arbitrate, i.e. (genitive case) to govern (figuratively, prevail):--rule.","Verb","greek"
"G1019","βραδύνω","bradýnō","brad-oo'-no","from βραδύς; to delay:--be slack, tarry.","Verb","greek"
"G102","ἀδύνατος","adýnatos","ad-oo'-nat-os","from Α (as a negative particle) and δυνατός; unable, i.e. weak (literally or figuratively); passively, impossible:--could not do, impossible, impotent, not possible, weak.","Adjective","greek"
"G1020","βραδυπλοέω","bradyploéō","brad-oo-plo-eh'-o","from βραδύς and a prolonged form of πλέω; to sail slowly:--sail slowly.","Verb","greek"
"G1021","βραδύς","bradýs","brad-ooce'","of uncertain affinity; slow; figuratively, dull:--slow.","Adjective","greek"
"G1022","βραδύτης","bradýtēs","brad-oo'-tace","from βραδύς; tardiness:--slackness.","Noun Feminine","greek"
"G1023","βραχίων","brachíōn","brakh-ee'-own","properly, comparative of βραχύς, but apparently in the sense of  (to wield); the arm, i.e. (figuratively) strength:--arm.","Noun Masculine","greek"
"G1024","βραχύς","brachýs","brakh-ooce'","of uncertain affinity; short (of time, place, quantity, or number):--few words, little (space, while).","Adjective","greek"
"G1025","βρέφος","bréphos","bref'-os","of uncertain affinity; an infant (properly, unborn) literally or figuratively:--babe, (young) child, infant.","Noun Neuter","greek"
"G1026","βρέχω","bréchō","brekh'-o","a primary verb; to moisten (especially by a shower):--(send) rain, wash.","Verb","greek"
"G1027","βροντή","brontḗ","bron-tay'","akin to  (to roar); thunder:--thunder(-ing).","Noun Feminine","greek"
"G1028","βροχή","brochḗ","brokh-ay'","from βρέχω; rain:--rain.","Noun Feminine","greek"
"G1029","βρόχος","bróchos","brokh'-os","of uncertain derivation; a noose:--snare.","Noun Masculine","greek"
"G103","ᾄδω","áidō","ad'-o","a primary verb; to sing:--sing.","Verb","greek"
"G1030","βρυγμός","brygmós","broog-mos'","from βρύχω; a grating (of the teeth):--gnashing.","Noun Masculine","greek"
"G1031","βρύχω","brýchō","broo'-kho","a primary verb; to grate the teeth (in pain or rage):--gnash.","Verb","greek"
"G1032","βρύω","brýō","broo'-o","a primary verb; to swell out, i.e. (by implication) to gush:--send forth.","Verb","greek"
"G1033","βρῶμα","brōma","bro'-mah","from the base of βιβρώσκω; food (literally or figuratively), especially (ceremonially) articles allowed or forbidden by the Jewish law:--meat, victuals.","Noun Neuter","greek"
"G1034","βρώσιμος","brṓsimos","bro'-sim-os","from βρῶσις; eatable:--meat.","Adjective","greek"
"G1035","βρῶσις","brōsis","bro'-sis","from the base of βιβρώσκω; (abstractly) eating (literally or figuratively); by extension (concretely) food (literally or figuratively):--eating, food, meat.","Noun Feminine","greek"
"G1036","βυθίζω","bythízō","boo-thid'-zo","from βυθός; to sink; by implication, to drown:--begin to sink, drown.","Verb","greek"
"G1037","βυθός","bythós","boo-thos'","a variation of βάθος; depth, i.e. (by implication) the sea:--deep.","Noun Masculine","greek"
"G1038","βυρσεύς","byrseús","boorce-yooce'","from  (a hide); a tanner:--tanner.","Noun Masculine","greek"
"G1039","βύσσινος","býssinos","boos'-see-nos","from βύσσος; made of linen (neuter a linen cloth):--fine linen.","Adjective","greek"
"G104","ἀεί","aeí","ah-eye'","from an obsolete primary noun (apparently meaning continued duration); ""ever,"" by qualification regularly; by implication, earnestly:--always, ever.","Adverb","greek"
"G1040","βύσσος","býssos","boos'-sos","of Hebrew origin (בּוּץ); white linen:--fine linen.","Noun Feminine","greek"
"G1041","βωμός","bōmós","bo'-mos","from the base of βάσις; properly, a stand, i.e. (specially) an altar:--altar.","Noun Masculine","greek"
"G1042","γαββαθά","gabbathá","gab-bath-ah'","of Chaldee origin (compare גַּב); the knoll; gabbatha, a vernacular term for the Roman tribunal in Jerusalem:-- Gabbatha.","Noun Location","greek"
