osisRef,status,verseID,book,chapter,verseNum,verseText,richText,mdText,people,peopleCount,places,placesCount,yearNum,peopleGroups,event,modified
Gen.1.1,publish,01001001,Gen,Gen.1,1,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.,In the beginning [God]([/person/god_1324) created the heaven and the earth.,god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.2,publish,01001002,Gen,Gen.1,2,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.","And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.","And the earth was without form, and void; and darkness _was_ upon the face of the deep. And the [Spirit]([/person/holy_spirit_7400) of [God]([/person/god_1324) moved upon the face of the waters.","god_1324,holy_spirit_7400",2,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.3,publish,01001003,Gen,Gen.1,3,"And God said, Let there be light: and there was light.","And God said, Let there be light: and there was light.","And [God]([/person/god_1324) said, Let there be light: and there was light.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.4,publish,01001004,Gen,Gen.1,4,"And God saw the light, that it was good: and God divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness.","And [God]([/person/god_1324) saw the light, that _it_ _was_ good: and [God]([/person/god_1324) divided the light from the darkness.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.5,publish,01001005,Gen,Gen.1,5,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","And [God]([/person/god_1324) called the light Day, and the darkness he called Night. And the evening and the morning were the first day.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.6,publish,01001006,Gen,Gen.1,6,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","And [God]([/person/god_1324) said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.7,publish,01001007,Gen,Gen.1,7,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","And [God]([/person/god_1324) made the firmament, and divided the waters which _were_ under the firmament from the waters which _were_ above the firmament: and it was so.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.8,publish,01001008,Gen,Gen.1,8,And God called the firmament Heaven. And the evening and the morning were the second day.,And God called the firmament Heaven. And the evening and the morning were the second day.,And [God]([/person/god_1324) called the firmament Heaven. And the evening and the morning were the second day.,god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.9,publish,01001009,Gen,Gen.1,9,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","And [God]([/person/god_1324) said, Let the waters under the heaven be gathered together unto one place, and let the dry _land_ appear: and it was so.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.10,publish,01001010,Gen,Gen.1,10,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,And [God]([/person/god_1324) called the dry _land_ Earth; and the gathering together of the waters called he Seas: and [God]([/person/god_1324) saw that _it_ _was_ good.,god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.11,publish,01001011,Gen,Gen.1,11,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","And [God]([/person/god_1324) said, Let the earth bring forth grass, the herb yielding seed, _and_ the fruit tree yielding fruit after his kind, whose seed _is_ in itself, upon the earth: and it was so.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.12,publish,01001012,Gen,Gen.1,12,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","And the earth brought forth grass, _and_ herb yielding seed after his kind, and the tree yielding fruit, whose seed _was_ in itself, after his kind: and [God]([/person/god_1324) saw that _it_ _was_ good.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.13,publish,01001013,Gen,Gen.1,13,And the evening and the morning were the third day.,And the evening and the morning were the third day.,And the evening and the morning were the third day.,,0,,0,-4004,,Creation of all things,2020-08-20 15:20
Gen.1.14,publish,01001014,Gen,Gen.1,14,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","And [God]([/person/god_1324) said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.15,publish,01001015,Gen,Gen.1,15,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,,0,,0,-4004,,Creation of all things,2020-08-20 15:20
Gen.1.16,publish,01001016,Gen,Gen.1,16,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","And [God]([/person/god_1324) made two great lights; the greater light to rule the day, and the lesser light to rule the night: _he_ _made_ the stars also.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.17,publish,01001017,Gen,Gen.1,17,"And God set them in the firmament of the heaven to give light upon the earth,","And God set them in the firmament of the heaven to give light upon the earth,","And [God]([/person/god_1324) set them in the firmament of the heaven to give light upon the earth,",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.18,publish,01001018,Gen,Gen.1,18,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.","And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.","And to rule over the day and over the night, and to divide the light from the darkness: and [God]([/person/god_1324) saw that _it_ _was_ good.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.19,publish,01001019,Gen,Gen.1,19,And the evening and the morning were the fourth day.,And the evening and the morning were the fourth day.,And the evening and the morning were the fourth day.,,0,,0,-4004,,Creation of all things,2020-08-20 15:20
Gen.1.20,publish,01001020,Gen,Gen.1,20,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.","And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.","And [God]([/person/god_1324) said, Let the waters bring forth abundantly the moving creature that hath life, and fowl _that_ may fly above the earth in the open firmament of heaven.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.21,publish,01001021,Gen,Gen.1,21,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.","And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.","And [God]([/person/god_1324) created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and [God]([/person/god_1324) saw that _it_ _was_ good.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.22,publish,01001022,Gen,Gen.1,22,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.","And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.","And [God]([/person/god_1324) blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.23,publish,01001023,Gen,Gen.1,23,And the evening and the morning were the fifth day.,And the evening and the morning were the fifth day.,And the evening and the morning were the fifth day.,,0,,0,-4004,,Creation of all things,2020-08-20 15:20
Gen.1.24,publish,01001024,Gen,Gen.1,24,"And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.","And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.","And [God]([/person/god_1324) said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.25,publish,01001025,Gen,Gen.1,25,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.","And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.","And [God]([/person/god_1324) made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and [God]([/person/god_1324) saw that _it_ _was_ good.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.26,publish,01001026,Gen,Gen.1,26,"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","And [God]([/person/god_1324) said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.27,publish,01001027,Gen,Gen.1,27,"So God created man in his own image, in the image of God created he him; male and female created he them.","So God created man in his own image, in the image of God created he him; male and female created he them.","So [God]([/person/god_1324) created man in his _own_ image, in the image of [God]([/person/god_1324) created he him; male and female created he them.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.28,publish,01001028,Gen,Gen.1,28,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.","And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.","And [God]([/person/god_1324) blessed them, and [God]([/person/god_1324) said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.29,publish,01001029,Gen,Gen.1,29,"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.","And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.","And [God]([/person/god_1324) said, Behold, I have given you every herb bearing seed, which _is_ upon the face of all the earth, and every tree, in the which _is_ the fruit of a tree yielding seed; to you it shall be for meat.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.1.30,publish,01001030,Gen,Gen.1,30,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.","And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.","And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein _there_ _is_ life, _I_ _have_ _given_ every green herb for meat: and it was so.",,0,,0,-4004,,Creation of all things,2020-08-20 15:20
Gen.1.31,publish,01001031,Gen,Gen.1,31,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.","And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.","And [God]([/person/god_1324) saw every thing that he had made, and, behold, _it_ _was_ very good. And the evening and the morning were the sixth day.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.2.1,publish,01002001,Gen,Gen.2,1,"Thus the heavens and the earth were finished, and all the host of them.","Thus the heavens and the earth were finished, and all the host of them.","Thus the heavens and the earth were finished, and all the host of them.",,0,,0,-4004,,Creation of all things,2020-08-20 15:20
Gen.2.2,publish,01002002,Gen,Gen.2,2,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.,And on the seventh day [God]([/person/god_1324) ended his work which he had made; and he rested on the seventh day from all his work which he had made.,god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.2.3,publish,01002003,Gen,Gen.2,3,"And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.","And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.","And [God]([/person/god_1324) blessed the seventh day, and sanctified it: because that in it he had rested from all his work which [God]([/person/god_1324) created and made.",god_1324,1,,0,-4004,,Creation of all things,2021-01-08 15:07
Gen.2.4,publish,01002004,Gen,Gen.2,4,"These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,","These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,","These _are_ the generations of the heavens and of the earth when they were created, in the day that the [LORD]([/person/god_1324) [God]([/person/god_1324) made the earth and the heavens,",god_1324,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.5,publish,01002005,Gen,Gen.2,5,"And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground.","And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground.","And every plant of the field before it was in the earth, and every herb of the field before it grew: for the [LORD]([/person/god_1324) [God]([/person/god_1324) had not caused it to rain upon the earth, and _there_ _was_ not a man to till the ground.",god_1324,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.6,publish,01002006,Gen,Gen.2,6,"But there went up a mist from the earth, and watered the whole face of the ground.","But there went up a mist from the earth, and watered the whole face of the ground.","But there went up a mist from the earth, and watered the whole face of the ground.",,0,,0,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.7,publish,01002007,Gen,Gen.2,7,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.","And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.","And the [LORD]([/person/god_1324) [God]([/person/god_1324) formed man _of_ the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.",god_1324,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.8,publish,01002008,Gen,Gen.2,8,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,And the [LORD]([/person/god_1324) [God]([/person/god_1324) planted a garden eastward in Eden; and there he put the man whom he had formed.,god_1324,1,eden_354,1,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.9,publish,01002009,Gen,Gen.2,9,"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.","And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.","And out of the ground made the [LORD]([/person/god_1324) [God]([/person/god_1324) to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.",god_1324,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.10,publish,01002010,Gen,Gen.2,10,"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.","And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.","And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.",,0,eden_354,1,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.11,publish,01002011,Gen,Gen.2,11,"The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;","The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;","The name of the first _is_ Pison: that _is_ it which compasseth the whole land of Havilah, where _there_ _is_ gold;",,0,"havilah_533,pishon_951",2,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.12,publish,01002012,Gen,Gen.2,12,And the gold of that land is good: there is bdellium and the onyx stone.,And the gold of that land is good: there is bdellium and the onyx stone.,And the gold of that land _is_ good: there _is_ bdellium and the onyx stone.,,0,,0,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.13,publish,01002013,Gen,Gen.2,13,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,And the name of the second river _is_ Gihon: the same _is_ it that compasseth the whole land of Ethiopia.,,0,"gihon_472,ethiopia_419",2,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.14,publish,01002014,Gen,Gen.2,14,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,And the name of the third river _is_ Hiddekel: that _is_ it which goeth toward the east of Assyria. And the fourth river _is_ Euphrates.,,0,"tigris_1163,assyria_111,euphrates_421",3,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.15,publish,01002015,Gen,Gen.2,15,"And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it.","And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it.","And the [LORD]([/person/god_1324) [God]([/person/god_1324) took the man, and put him into the garden of Eden to dress it and to keep it.",god_1324,1,eden_354,1,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.16,publish,01002016,Gen,Gen.2,16,"And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:","And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:","And the [LORD]([/person/god_1324) [God]([/person/god_1324) commanded the man, saying, Of every tree of the garden thou mayest freely eat:",god_1324,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.17,publish,01002017,Gen,Gen.2,17,"But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.","But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.","But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.",,0,,0,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.18,publish,01002018,Gen,Gen.2,18,"And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him.","And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him.","And the [LORD]([/person/god_1324) [God]([/person/god_1324) said, _It_ _is_ not good that the man should be alone; I will make him an help meet for him.",god_1324,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.19,publish,01002019,Gen,Gen.2,19,"And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof.","And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof.","And out of the ground the [LORD]([/person/god_1324) [God]([/person/god_1324) formed every beast of the field, and every fowl of the air; and brought _them_ unto [Adam]([/person/adam_78) to see what he would call them: and whatsoever [Adam]([/person/adam_78) called every living creature, that _was_ the name thereof.","adam_78,god_1324",2,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.20,publish,01002020,Gen,Gen.2,20,"And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him.","And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him.","And [Adam]([/person/adam_78) gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for [Adam]([/person/adam_78) there was not found an help meet for him.",adam_78,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.21,publish,01002021,Gen,Gen.2,21,"And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;","And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;","And the [LORD]([/person/god_1324) [God]([/person/god_1324) caused a deep sleep to fall upon [Adam,]([/person/adam_78) and he slept: and he took one of his ribs, and closed up the flesh instead thereof;","adam_78,god_1324",2,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.22,publish,01002022,Gen,Gen.2,22,"And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man.","And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man.","And the rib, which the [LORD]([/person/god_1324) [God]([/person/god_1324) had taken from man, made he a woman, and brought her unto the man.",god_1324,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.23,publish,01002023,Gen,Gen.2,23,"And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.","And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.","And [Adam]([/person/adam_78) said, This _is_ now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.",adam_78,1,,0,-4004,,Creation of Adam and Eve,2021-01-08 15:07
Gen.2.24,publish,01002024,Gen,Gen.2,24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.","Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.","Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.",,0,,0,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.2.25,publish,01002025,Gen,Gen.2,25,"And they were both naked, the man and his wife, and were not ashamed.","And they were both naked, the man and his wife, and were not ashamed.","And they were both naked, the man and his wife, and were not ashamed.",,0,,0,-4004,,Creation of Adam and Eve,2020-08-20 15:21
Gen.3.1,publish,01003001,Gen,Gen.3,1,"Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?","Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?","Now the serpent was more subtil than any beast of the field which the [LORD]([/person/god_1324) [God]([/person/god_1324) had made. And he said unto the woman, Yea, hath [God]([/person/god_1324) said, Ye shall not eat of every tree of the garden?",god_1324,1,,0,-4004,,The Fall,2021-01-08 15:07
Gen.3.2,publish,01003002,Gen,Gen.3,2,"And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:","And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:","And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:",,0,,0,-4004,,The Fall,2020-08-20 15:21
Gen.3.3,publish,01003003,Gen,Gen.3,3,"But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.","But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.","But of the fruit of the tree which _is_ in the midst of the garden, [God]([/person/god_1324) hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.",god_1324,1,,0,-4004,,The Fall,2021-01-08 15:07
Gen.3.4,publish,01003004,Gen,Gen.3,4,"And the serpent said unto the woman, Ye shall not surely die:","And the serpent said unto the woman, Ye shall not surely die:","And the serpent said unto the woman, Ye shall not surely die:",,0,,0,-4004,,The Fall,2020-08-20 15:21
Gen.3.5,publish,01003005,Gen,Gen.3,5,"For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.","For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.","For [God]([/person/god_1324) doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.",god_1324,1,,0,-4004,,The Fall,2021-01-08 15:07
Gen.3.6,publish,01003006,Gen,Gen.3,6,"And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.","And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.","And when the woman saw that the tree _was_ good for food, and that it _was_ pleasant to the eyes, and a tree to be desired to make _one_ wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.",,0,,0,-4004,,The Fall,2020-08-20 15:21
Gen.3.7,publish,01003007,Gen,Gen.3,7,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.","And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.","And the eyes of them both were opened, and they knew that they _were_ naked; and they sewed fig leaves together, and made themselves aprons.",,0,,0,-4004,,The Fall,2020-08-20 15:21
Gen.3.8,publish,01003008,Gen,Gen.3,8,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.,And they heard the voice of the [LORD]([/person/god_1324) [God]([/person/god_1324) walking in the garden in the cool of the day: and [Adam]([/person/adam_78) and his wife hid themselves from the presence of the [LORD]([/person/god_1324) [God]([/person/god_1324) amongst the trees of the garden.,"adam_78,god_1324",2,,0,-4004,,The Fall,2021-01-08 15:07
Gen.3.9,publish,01003009,Gen,Gen.3,9,"And the LORD God called unto Adam, and said unto him, Where art thou?","And the LORD God called unto Adam, and said unto him, Where art thou?","And the [LORD]([/person/god_1324) [God]([/person/god_1324) called unto [Adam,]([/person/adam_78) and said unto him, Where _art_ thou?","adam_78,god_1324",2,,0,-4004,,The Fall,2021-01-08 15:07
Gen.3.10,publish,01003010,Gen,Gen.3,10,"And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself.","And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself.","And he said, I heard thy voice in the garden, and I was afraid, because I _was_ naked; and I hid myself.",,0,,0,-4004,,The Fall,2020-08-20 15:21
Gen.3.11,publish,01003011,Gen,Gen.3,11,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?","And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?","And he said, Who told thee that thou _wast_ naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?",,0,,0,-4004,,The Fall,2020-08-20 15:21
Gen.3.12,publish,01003012,Gen,Gen.3,12,"And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.","And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.","And the man said, The woman whom thou gavest _to_ _be_ with me, she gave me of the tree, and I did eat.",,0,,0,-4004,,The Fall,2020-08-20 15:21
