"Testament","Division","Book","Chapter","Writer","Verses (KJV)","Words (KJV)","Sentences (KJV)","Paragraphs (KJV)"
"Old Testament","Pentateuch","1-Genesis","1-Gen-001","Moses","31","797","33","10"
"Old Testament","Pentateuch","1-Genesis","1-Gen-002","Moses","25","632","22","6"
"Old Testament","Pentateuch","1-Genesis","1-Gen-003","Moses","24","695","21","10"
"Old Testament","Pentateuch","1-Genesis","1-Gen-004","Moses","26","632","33","10"
"Old Testament","Pentateuch","1-Genesis","1-Gen-005","Moses","32","504","13","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-006","Moses","22","579","21","8"
"Old Testament","Pentateuch","1-Genesis","1-Gen-007","Moses","24","584","21","6"
"Old Testament","Pentateuch","1-Genesis","1-Gen-008","Moses","22","586","15","6"
"Old Testament","Pentateuch","1-Genesis","1-Gen-009","Moses","29","658","24","6"
"Old Testament","Pentateuch","1-Genesis","1-Gen-010","Moses","32","495","24","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-011","Moses","32","606","25","3"
"Old Testament","Pentateuch","1-Genesis","1-Gen-012","Moses","20","536","20","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-013","Moses","18","457","17","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-014","Moses","24","606","19","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-015","Moses","21","471","17","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-016","Moses","16","412","20","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-017","Moses","27","679","27","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-018","Moses","33","867","36","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-019","Moses","38","1108","37","8"
"Old Testament","Pentateuch","1-Genesis","1-Gen-020","Moses","18","498","21","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-021","Moses","34","774","36","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-022","Moses","24","629","20","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-023","Moses","20","539","15","3"
"Old Testament","Pentateuch","1-Genesis","1-Gen-024","Moses","67","1816","65","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-025","Moses","34","706","30","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-026","Moses","35","889","31","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-027","Moses","46","1262","45","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-028","Moses","22","621","16","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-029","Moses","35","830","43","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-030","Moses","43","1022","46","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-031","Moses","55","1417","63","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-032","Moses","32","794","34","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-033","Moses","20","508","26","3"
"Old Testament","Pentateuch","1-Genesis","1-Gen-034","Moses","31","790","27","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-035","Moses","29","664","24","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-036","Moses","43","845","34","4"
"Old Testament","Pentateuch","1-Genesis","1-Gen-037","Moses","36","942","43","5"
"Old Testament","Pentateuch","1-Genesis","1-Gen-038","Moses","30","819","39","3"
"Old Testament","Pentateuch","1-Genesis","1-Gen-039","Moses","23","666","20","4"
