"BookID","Chapter","Writer"
"0","0","Writer"
"1","1","Moses"
"1","1","Moses"
"1","2","Moses"
"1","3","Moses"
"1","4","Moses"
"1","5","Moses"
"1","6","Moses"
"1","7","Moses"
"1","8","Moses"
"1","9","Moses"
"1","10","Moses"
"1","11","Moses"
"1","12","Moses"
"1","13","Moses"
"1","14","Moses"
"1","15","Moses"
"1","16","Moses"
"1","17","Moses"
"1","18","Moses"
"1","19","Moses"
"1","20","Moses"
"1","21","Moses"
"1","22","Moses"
"1","23","Moses"
"1","24","Moses"
"1","25","Moses"
"1","26","Moses"
"1","27","Moses"
"1","28","Moses"
"1","29","Moses"
"1","30","Moses"
"1","31","Moses"
"1","32","Moses"
"1","33","Moses"
"1","34","Moses"
"1","35","Moses"
"1","36","Moses"
"1","37","Moses"
"1","38","Moses"
"1","39","Moses"
"1","40","Moses"
"1","41","Moses"
"1","42","Moses"
"1","43","Moses"
"1","44","Moses"
"1","45","Moses"
"1","46","Moses"
"1","47","Moses"
"1","48","Moses"
"1","49","Moses"
"1","50","Moses"
"2","1","Moses"
"2","2","Moses"
"2","3","Moses"
"2","4","Moses"
"2","5","Moses"
"2","6","Moses"
"2","7","Moses"
"2","8","Moses"
"2","9","Moses"
"2","10","Moses"
"2","11","Moses"
"2","12","Moses"
"2","13","Moses"
"2","14","Moses"
"2","15","Moses"
"2","16","Moses"
"2","17","Moses"
"2","18","Moses"
"2","19","Moses"
"2","20","Moses"
"2","21","Moses"
"2","22","Moses"
"2","23","Moses"
"2","24","Moses"
"2","25","Moses"
"2","26","Moses"
"2","27","Moses"
"2","28","Moses"
"2","29","Moses"
"2","30","Moses"
"2","31","Moses"
"2","32","Moses"
"2","33","Moses"
"2","34","Moses"
"2","35","Moses"
"2","36","Moses"
"2","37","Moses"
"2","38","Moses"
"2","39","Moses"
"2","40","Moses"
"3","1","Moses"
"3","2","Moses"
"3","3","Moses"
"3","4","Moses"
"3","5","Moses"
"3","6","Moses"
"3","7","Moses"
"3","8","Moses"
"3","9","Moses"
"3","10","Moses"
"3","11","Moses"
"3","12","Moses"
"3","13","Moses"
"3","14","Moses"
"3","15","Moses"
"3","16","Moses"
"3","17","Moses"
"3","18","Moses"
"3","19","Moses"
"3","20","Moses"
"3","21","Moses"
"3","22","Moses"
"3","23","Moses"
"3","24","Moses"
"3","25","Moses"
"3","26","Moses"
"3","27","Moses"
"4","1","Moses"
"4","2","Moses"
"4","3","Moses"
"4","4","Moses"
"4","5","Moses"
"4","6","Moses"
"4","7","Moses"
"4","8","Moses"
"4","9","Moses"
"4","10","Moses"
"4","11","Moses"
"4","12","Moses"
"4","13","Moses"
"4","14","Moses"
"4","15","Moses"
"4","16","Moses"
"4","17","Moses"
"4","18","Moses"
"4","19","Moses"
"4","20","Moses"
"4","21","Moses"
"4","22","Moses"
"4","23","Moses"
"4","24","Moses"
"4","25","Moses"
"4","26","Moses"
"4","27","Moses"
"4","28","Moses"
"4","29","Moses"
"4","30","Moses"
"4","31","Moses"
"4","32","Moses"
"4","33","Moses"
"4","34","Moses"
"4","35","Moses"
"4","36","Moses"
"5","1","Moses"
"5","2","Moses"
"5","3","Moses"
"5","4","Moses"
"5","5","Moses"
"5","6","Moses"
"5","7","Moses"
"5","8","Moses"
"5","9","Moses"
"5","10","Moses"
"5","11","Moses"
"5","12","Moses"
"5","13","Moses"
"5","14","Moses"
"5","15","Moses"
"5","16","Moses"
"5","17","Moses"
"5","18","Moses"
"5","19","Moses"
"5","20","Moses"
"5","21","Moses"
"5","22","Moses"
"5","23","Moses"
"5","24","Moses"
"5","25","Moses"
"5","26","Moses"
"5","27","Moses"
"5","28","Moses"
"5","29","Moses"
"5","30","Moses"
"5","31","Moses"
"5","32","Moses"
"5","33","Moses"
"5","34","Moses"
"6","1","Joshua"
"6","2","Joshua"
"6","3","Joshua"
"6","4","Joshua"
"6","5","Joshua"
"6","6","Joshua"
"6","7","Joshua"
"6","8","Joshua"
"6","9","Joshua"
"6","10","Joshua"
"6","11","Joshua"
"6","12","Joshua"
"6","13","Joshua"
"6","14","Joshua"
"6","15","Joshua"
"6","16","Joshua"
"6","17","Joshua"
"6","18","Joshua"
"6","19","Joshua"
"6","20","Joshua"
"6","21","Joshua"
"6","22","Joshua"
"6","23","Joshua"
"6","24","Joshua"
"7","1","Samuel"
"7","2","Samuel"
"7","3","Samuel"
"7","4","Samuel"
"7","5","Samuel"
"7","6","Samuel"
"7","7","Samuel"
"7","8","Samuel"
"7","9","Samuel"
"7","10","Samuel"
"7","11","Samuel"
"7","12","Samuel"
"7","13","Samuel"
"7","14","Samuel"
"7","15","Samuel"
"7","16","Samuel"
"7","17","Samuel"
"7","18","Samuel"
"7","19","Samuel"
"7","20","Samuel"
"7","21","Samuel"
"8","1","Samuel"
"8","2","Samuel"
"8","3","Samuel"
"8","4","Samuel"
"9","1","Samuel, Gad, Nathan"
"9","2","Samuel, Gad, Nathan"
"9","3","Samuel, Gad, Nathan"
"9","4","Samuel, Gad, Nathan"
"9","5","Samuel, Gad, Nathan"
"9","6","Samuel, Gad, Nathan"
"9","7","Samuel, Gad, Nathan"
"9","8","Samuel, Gad, Nathan"
"9","9","Samuel, Gad, Nathan"
